STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00042294,1893-01,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,6,0,"3,6",8,",6",7,",6",1,",6",,,,,0,",6",0,",6",0,"3,6",1,"3,6",0,"3,6",23,,,,1.7,",6,25,",,,,,26.7,",,6,27,",28.3,"3,6,01,",,,,,,,,,,,267.5,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,",,,6",,,8.78,"3,6",11.81,"3,,,6",5.75,",,,6",,
USC00042294,1893-02,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",3.4,6,3.4,"4,6",10,",6",7,",6",0,",6",,,,,0,"1,6",1,"1,6",0,"4,6",14,"4,6",0,"4,6",,,,,0,"1,6,01,",,,,,21.3,",,6,08,",29.4,"4,6,25,",,,,,,,,,,,101.4,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,",,,6",,,14.07,"4,6",21.78,"4,,,6",6.36,"1,,,6",,
USC00042294,1893-03,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",16.8,6,13.4,"2,6",15,",6",8,",6",1,",6",,,,,0,"1,6",0,"1,6",0,"2,6",14,"2,6",0,"2,6",,,,,5.6,"1,6,09,",,,,,37.3,",,6,11,",31.7,"2,6,28,+",,,,,,,,,,,103.3,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,",,,6",,,15.2,"2,6",21.44,"2,,,6",8.97,"1,,,6",,
USC00042294,1893-04,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",26.9,6,10.1,"2,6",7,",6",1,",6",0,",6",,,,,0,"1,6",0,"1,6",0,"1,6",24,"1,6",0,"1,6",,,,,6.1,"1,6,29,+",,,,,16.3,",,6,06,",28.9,"1,6,21,+",,,,,,,,,,,70,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,",,,6",,,16.27,"2,6",23.62,"1,,,6",8.91,"1,,,6",,
USC00042294,1893-05,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",76.8,6,49.9,",6",5,",6",4,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",3,",6",,,,,8.9,",6,20,+",,,,,7.9,",,6,08,",33.3,",6,14,",,,,,,,,,,,17.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,",,,6",,,19.39,",6",26.64,",,,6",12.13,",,,6",,
USC00042294,1893-06,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",178.2,6,101.4,",6",0,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",8,",6",,,,,10,",6,20,",,,,,0,",,6,30,+",35,",6,30,",,,,,,,,,,,2.7,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,",,,6",,,21.62,",6",29.65,",,,6",13.59,",,,6",,
USC00042294,1893-07,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",339.9,6,161.7,"1,6",0,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,"1,6",30,"1,6",19,"1,6",,,,,10,",6,10,",,,,,0,",T,6,21,",38.3,"1,6,31,",,,0,6,,,,,,,0,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,",T,,6",,,23.73,"1,6",32.46,"1,,,6",15,",,,6",,
USC00042294,1893-08,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",512.5,6,172.6,",6",0,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",25,",6",,,,,11.7,",6,12,+",,,,,0,",,6,31,+",38.9,",6,01,",,,0,6,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,",,,6",,,23.9,",6",33.87,",,,6",13.93,",,,6",,
USC00042294,1893-10,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,37.5,",6",1,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",0,",6",,,,,4.4,",6,31,",,,,,1,",,6,09,",31.7,",6,20,+",,,,,,,,,,,25,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,,6",,,18.74,",6",28.12,",,,6",9.35,",,,6",,
USC00042294,1893-11,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,0.6,",6",,,,,,,,,,,0,",6",2,",6",0,",6",16,",6",0,",6",,,,,0,",6,20,+",,,,,,,28.3,",6,13,",,,,,,,,,,,119.4,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37,",6",21.6,",,,6",7.15,",,,6",,
