STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024213,1941-12,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,,,0,",X",23,",X",20,",X",5,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,1.1,",X,26,",0,",,X,31,+",0,",,X,31,+",46.7,",,X,17,",20,",X,02,",,,267.8,",X",327.1,",,,X",,,0,",,,X",9.7,",X",12.78,",,,X",6.61,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-01,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",15,",X",12,",X",1,",X",0,",X",0,",X",0,",X",2,",X",0,",X",1,",X",0,",X",,,,,,,-2.2,",X,01,",0,",,X,31,+",0,",,X,31,+",29,",,X,07,",23.3,",X,21,",,,252.7,",X",103.4,",,,X",,,0,",,,X",10.18,",X",13.73,",,,X",6.63,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-02,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",13,",X",10,",X",2,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,1.1,",X,25,",0,",,X,28,+",0,",,X,28,+",44.5,",,X,03,",15,",X,01,",,,275.6,",X",158.1,",,,X",,,0,",,,X",8.49,",X",11.86,",,,X",5.12,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-03,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",8,",X",6,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,1.7,",X,15,+",0,",,X,31,+",0,",T,X,14,",13.2,",,X,12,",20,",X,07,",,,285.2,",X",45,",,,X",,,0,",T,,X",9.13,",X",12.68,",,,X",5.59,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-04,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",15,",X",9,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,3.9,",X,28,",0,",,X,30,+",0,",,X,30,+",21.1,",,X,13,",19.4,",X,09,",,,223.4,",X",102.8,",,,X",,,0,",,,X",10.89,",X",13.75,",,,X",8.02,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-05,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",13,",X",9,",X",1,",X",0,",X",0,",X",0,",X",0,",X",0,",X",1,",X",0,",X",,,,,,,3.3,",X,01,",0,",,X,31,+",0,",,X,31,+",26.4,",,X,24,",22.2,",X,20,",,,205,",X",137.9,",,,X",,,0,",,,X",11.72,",X",14.49,",,,X",8.95,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-06,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",8,",X",2,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",2,",X",0,",X",,,,,,,8.9,",X,12,+",0,",,X,30,+",0,",,X,30,+",6.6,",,X,08,",22.2,",X,30,+",,,147.2,",X",14.6,",,,X",,,0,",,,X",13.43,",X",16.01,",,,X",10.85,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-07,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",5,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",1,",X",0,",X",,,,,,,11.7,",X,25,+",0,",,X,31,+",0,",,X,31,+",0.5,",,X,04,+",21.7,",X,01,",90.1,X,90.1,",X",1.9,",,,X",,,0,",,,X",15.43,",X",17.76,",,,X",13.09,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-08,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",5,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,9.4,",X,25,",0,",,X,31,+",0,",,X,31,+",0.5,",,X,01,",18.9,",X,03,",222,X,131.9,",X",1.7,",,,X",,,0,",,,X",14.08,",X",16.05,",,,X",12.11,",,,X",,,,,,,,,,,,,,,,,,,,,,
USW00024213,1942-09,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,X,0,",X",3,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",0,",X",,,,,,,6.7,",X,20,",0,",,X,30,+",0,",,X,30,+",1,",,X,30,",20.6,",X,18,",380.3,X,158.3,",X",1.6,",,,X",,,0,",,,X",13.06,",X",15.68,",,,X",10.43,",,,X",,,,,,,,,,,,,,,,,,,,,,
