"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093230","1968-05","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","","","0.0",",0","","","","","","","","","","","0",",0","23",",0","0",",0","4",",0","0",",0","","","","","","","-7.8",",0,14,","","","","","","","23.9",",0,27,","","","352.8",",0","","","","","6.95",",0","15.67",",,,0","-1.77",",,,0","","","","","","","","","",""
"USW00093230","1968-06","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","","","0.0",",0","","","","","","","","","","","0",",0","7",",0","0",",0","20",",0","0",",0","","","","","","","-3.9",",0,30,","","","","","","","28.3",",0,26,","","","189.9",",0","","","","","12.00",",0","22.16",",,,0","1.84",",,,0","","","","","","","","","",""
"USW00093230","1968-07","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","0",",,,0","","","","","","","","","","","","","","","",""
"USW00093230","1968-11","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","","","0.0","2,0","","","","","","","","","","","0","2,0","26","2,0","1","2,0","0","2,0","0","2,0","","","","","","","-13.3","2,0,28,","","","","","","","15.6","2,0,11,+","","","468.2","2,0","","","","","1.61","2,0","8.14","2,,,0","-4.91","2,,,0","","","","","","","","","",""
"USW00093230","1968-12","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","","","0.0","2,0","","","","","","","","","","","6",",0","31",",0","9","2,0","0","2,0","0","2,0","","","","","","","-23.3",",0,22,","","","","","","","10.6","2,0,07,","","","664.2","2,0","","","","","-4.22","2,0","2.69","2,,,0","-11.14",",,,0","","","","","","","","","",""
"USW00093230","1969-01","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","0.0","0","0.0",",0","","","","","","","","","","","2",",0","26",",0","7",",0","0",",0","0",",0","","","","","","","-26.7",",0,31,","","","","","","","10.6",",0,07,","","","635.4",",0","","","","","-2.16",",0","2.82",",,,0","-7.15",",,,0","","","","","","","","","",""
"USW00093230","1969-02","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","0.0","0","0.0",",0","","","","","","","","","","","9",",0","28",",0","14",",0","0",",0","0",",0","","","","","","","-24.4",",0,03,","","","","","","","7.8",",0,10,","","","666.6",",0","","","","","-5.47",",0","0.66",",,,0","-11.60",",,,0","","","","","","","","","",""
"USW00093230","1969-03","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","0.0","0","0.0",",0","","","","","","","","","","","5",",0","29",",0","9",",0","0",",0","0",",0","","","","","","","-21.7",",0,11,+","","","","","","","16.7",",0,28,","","","652.8",",0","","","","","-2.72",",0","5.09",",,,0","-10.54",",,,0","","","","","","","","","",""
"USW00093230","1969-04","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","0.0","0","0.0","1,0","","","","","","","","","","","0","1,0","28","1,0","0","1,0","0","1,0","0","1,0","","","","","","","-12.2","1,0,07,","","","","","","","18.9","1,0,21,","","","450.8","1,0","","","","","2.79","1,0","9.83","1,,,0","-4.25","1,,,0","","","","","","","","","",""
"USW00093230","1969-05","38.8983","-119.9947","1924.5","SOUTH LAKE TAHOE AIRPORT, CA US","","","0.0","0","0.0","2,0","","","","","","","","","","","0","1,0","10","1,0","0","1,0","10","1,0","0","1,0","","","","","","","-2.8","1,0,03,","","","","","","","22.8","1,0,23,","","","236.9","1,0","","","","","10.13","2,0","18.50","1,,,0","1.76","1,,,0","","","","","","","","","",""
