"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024216","1892-01","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","9",",6","6",",6","1",",6","","","1",",6","","","","","","","","","","","","","","","","","","","","","51",",,6,01,","36.6",",,6,01,","","","","","","","109.1",",,,6","","","64",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-02","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","9",",6","7",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,29,+","31.5",",,6,19,","","","","","","","79.0",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-03","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","12",",6","8",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,31,+","22.6",",,6,29,","","","","","","","68.5",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-04","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,30,+","","","","","","","","","","","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-05","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","11",",6","8",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,31,+","39.6",",,6,15,","","","","","","","76.7",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-06","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","4",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,30,+","4.8",",,6,09,","","","","","","","6.9",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-07","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,31,+","0.0",",T,6,27,","","","","","","","0.0",",T,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-08","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,31,+","0.0",",T,6,02,","","","","","","","0.0",",T,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-09","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","2",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,30,+","6.9",",,6,18,","","","","","","","7.4",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024216","1892-10","40.1519","-122.2536","107.6","RED BLUFF MUNICIPAL AIRPORT, CA US","","","","","","","7",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","","","0",",,6,31,+","18.3",",,6,16,","","","","","","","36.0",",,,6","","","0",",,,6","","","","","","","","","","","","","","","","","","","","","","","",""
