STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024128,1877-07,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,127.6,",0",1,",0",1,",0",0,",0",,,0,",0",0,",0",0,",0",0,",0",31,",0",20,",0",,,,,,,2.8,",0,01,",,,0,",,0,31,+",6.9,",,0,21,",40,",0,20,",9.4,0,9.4,",0",6.9,",,,0",,,0,",,,0",22.14,",0",32.02,",,,0",12.27,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1877-08,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,78.8,",0",0,",0",0,",0",0,",0",,,0,",0",0,",0",0,",0",0,",0",31,",0",15,",0",,,,,,,2.2,",0,27,",,,0,",,0,31,+",0,",T,0,18,+",36.7,",0,13,",24.1,0,14.7,",0",0,",T,,0",,,0,",,,0",20.4,",0",30.93,",,,0",9.87,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1877-09,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,13.6,",0",0,",0",0,",0",0,",0",,,0,",0",0,",0",1,",0",0,",0",26,",0",0,",0",,,,,,,0,",0,24,",,,0,",,0,30,+",0,",,0,30,+",31.7,",0,09,+",110.6,0,86.5,",0",0,",,,0",,,0,",,,0",15.9,",0",25.31,",,,0",6.49,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1877-10,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,0,",0",2,",0",0,",0",0,",0",,,0,",0",0,",0",16,",0",0,",0",9,",0",0,",0",,,,,,,-10,",0,27,",,,3,",,0,27,",0.3,",,0,27,+",26.1,",0,09,",409.9,0,299.3,",0",0.6,",,,0",,,3,",,,0",8.68,",0",17.24,",,,0",0.12,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1877-11,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,0,",0",7,",0",3,",0",0,",0",,,0,",0",0,",0",20,",0",0,",0",0,",0",0,",0",,,,,,,-11.1,",0,29,",,,0,",T,0,12,",7.9,",,0,06,",16.7,",0,16,",846.2,0,436.3,",0",20.1,",,,0",,,0,",T,,0",3.79,",0",10.55,",,,0",-2.98,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1877-12,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,,,0,",0",0,",0",0,",0",0,",0",,,0,",0",2,",0",31,",0",2,",0",0,",0",0,",0",,,,,,,-18.3,",0,31,",,,0,",T,0,01,",0,",T,0,01,",13.9,",0,11,",1436.1,0,589.9,",0",0,",T,,0",,,0,",T,,0",-0.7,",0",7.47,",,,0",-8.86,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-01,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0,Z,0,",0",3,",0",0,",0",0,",0",,,0,",0",6,",0",27,",0",1,",0",0,",0",0,",0",,,,,,,-20.6,",0,06,",,,20,",,0,25,",2,",,0,25,",13.9,",0,16,",2008.2,0,572.1,",0",5.3,",,,0",,,20,",,,0",-0.12,",0",6.99,",,,0",-7.24,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-02,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0,Z,0,",0",11,",0",3,",0",0,",0",,,2,",0",0,",0",22,",0",0,",0",0,",0",0,",0",,,,,,,-10.6,",0,22,",,,89,",,0,20,",8.9,",,0,20,",16.1,",0,17,",2462.1,0,453.9,",0",22.8,",,,0",,,138,",,,0",2.12,",0",7.32,",,,0",-3.08,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-03,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0,Z,0,",0",11,",0",6,",0",0,",0",,,0,",0",0,",0",13,",0",0,",0",0,",0",0,",0",,,,,,,-10,",0,08,",,,0,",T,0,30,",10.7,",,0,27,",20.6,",0,23,",2824.3,0,362.2,",0",34.7,",,,0",,,0,",T,,0",6.65,",0",12.94,",,,0",0.36,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-04,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0,Z,0,",0",5,",0",1,",0",0,",0",,,1,",0",0,",0",13,",0",0,",0",6,",0",0,",0",,,,,,,-4.4,",0,15,+",,,51,",,0,13,",5.1,",,0,13,",23.3,",0,05,",3119.1,0,294.8,",0",6.5,",,,0",,,51,",,,0",8.51,",0",15.6,",,,0",1.41,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-05,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0.5,Z,0.5,",0",5,",0",5,",0",0,",0",,,0,",0",0,",0",4,",0",0,",0",15,",0",0,",0",,,,,,,-2.2,",0,06,",,,0,",,0,31,+",12.7,",,0,21,",28.3,",0,10,",3306.9,0,187.8,",0",33.4,",,,0",,,0,",,,0",12.29,",0",20.15,",,,0",4.43,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-06,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,66.7,Z,66.2,",0",5,",0",2,",0",0,",0",,,0,",0",0,",0",0,",0",0,",0",27,",0",5,",0",,,,,,,2.2,",0,29,",,,0,",,0,30,+",6.6,",,0,01,",34.4,",0,27,",3340.5,0,33.6,",0",13.9,",,,0",,,0,",,,0",19.42,",0",27.72,",,,0",11.11,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-07,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,174.5,Z,107.8,",0",1,",0",1,",0",0,",0",,,0,",0",0,",0",0,",0",0,",0",30,",0",17,",0",,,,,,,2.8,",0,06,+",,,0,",,0,31,+",12.7,",,0,23,",36.1,",0,13,",14.1,0,14.1,",0",12.7,",,,0",,,0,",,,0",21.35,",0",31.29,",,,0",11.42,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-08,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,307.4,Z,132.9,",0",3,",0",1,",0",0,",0",,,0,",0",0,",0",0,",0",0,",0",31,",0",18,",0",,,,,,,6.7,",0,18,",,,0,",,0,31,+",10.4,",,0,15,",37.8,",0,11,",15.8,0,1.7,",0",12.7,",,,0",,,0,",,,0",22.57,",0",32.38,",,,0",12.75,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-09,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,318.8,Z,11.4,",0",4,",0",3,",0",0,",0",,,0,",0",0,",0",2,",0",0,",0",19,",0",1,",0",,,,,,,-1.7,",0,26,",,,0,",,0,30,+",13,",,0,29,",34.4,",0,01,",152.1,0,136.3,",0",23.9,",,,0",,,0,",,,0",14.17,",0",23.02,",,,0",5.31,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-10,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,318.8,Z,0,",0",2,",0",0,",0",0,",0",,,0,",0",0,",0",18,",0",0,",0",9,",0",0,",0",,,,,,,-12.2,",0,25,",,,0,",,0,31,+",1.3,",,0,14,",25,",0,07,",475.5,0,323.4,",0",1.8,",,,0",,,0,",,,0",7.9,",0",17.09,",,,0",-1.29,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-11,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,318.8,Z,0,",0",2,",0",1,",0",0,",0",,,0,",0",0,",0",24,",0",0,",0",0,",0",0,",0",,,,,,,-12.8,",0,30,+",,,0,",T,0,15,",3.6,",,0,15,",18.9,",0,03,+",897.3,0,421.8,",0",4.1,",,,0",,,0,",T,,0",4.27,",0",12.97,",,,0",-4.42,",,,0",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1878-12,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,318.8,Z,0,",Z",2,",0",0,",0",0,",0",,,0,",0",6,",0",31,",Z",4,",0",0,",0",0,",0",,,,,,,-21.1,",Z,29,+",,,3,",,0,12,+",0.3,",,0,12,+",18.3,",0,03,",1556.3,0,659,",0",0.6,",,,0",,,6,",,,0",-2.93,",Z",6.13,",,,0",-11.98,",,,Z",,,,,,,,,,,,,,,,,,,,,,
USW00024128,1879-01,40.9017,-117.808,1309.4,"WINNEMUCCA AIRPORT, NV US",,,0,0,0,",0",9,",0",6,",0",0,",0",,,5,",0",7,",0",28,",0",10,",0",0,",0",0,",0",,,,,,,-25.6,",0,13,",,,124,",,0,14,",12.4,",,0,14,",12.8,",0,24,",2267.4,0,711.1,",0",47.3,",,,0",,,403,",,,0",-4.6,",0",2.74,",,,0",-11.95,",,,0",,,,,,,,,,,,,,,,,,,,,,
