STATION,DATE,MONTH,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG ADJ,,,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00267192,1948-01,1,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,"2,6",0,",6",0,",6",0,",6",0,0,0,",6",1,"1,6",27,"1,6",0,"1,6",0,"1,6",0,"1,6",0,0,0,0,-21.7,"1,6,26,",0,0,0,",,6,31,+",0,",T,6,05,",16.7,"1,6,25,+",0,0,0,0,501.7,"1,6",0,0,0,0,0,",T,,6",0,",,,6",0.8,,,,"2,6",10.85,"1,,,6",-9.24,"1,,,6",3422,",,,6"
USC00267192,1948-02,2,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",6",2,",6",1,",6",0,",6",0,0,1,",6",3,",6",26,",6",4,",6",0,",6",0,",6",0,0,0,0,-20.6,",6,11,",0,0,25,",,6,05,",2.5,",,6,05,",20.6,",6,21,",0,0,0,0,537.6,",6",0,0,0,0,3,",,,6",30,",,,6",-0.21,,Annual Average,,",6",8.08,",,,6",-8.49,",,,6",,
USC00267192,1948-03,3,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,"2,6",5,",6",2,",6",0,",6",0,0,0,",6",0,"1,6",27,"1,6",0,"1,6",0,"1,6",0,"1,6",0,0,0,0,-16.7,"1,6,04,",0,0,3,",,6,19,+",7.1,",,6,24,",18.9,"1,6,28,",0,0,0,0,485.8,"1,6",0,0,0,0,17.5,",,,6",6,",,,6",1.71,,10.4525,,"2,6",9.38,"1,,,6",-5.96,"1,,,6",,
USC00267192,1948-04,4,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,"3,6",5,",6",2,",6",0,",6",0,0,0,",6",0,",6",19,",6",0,"3,6",6,"3,6",0,"3,6",0,0,0,0,-8.9,",6,08,",0,0,0,",T,6,30,+",3.3,",,6,29,",24.4,"3,6,20,",0,0,0,0,308.6,"3,6",0,0,0,0,11.4,",,,6",0,",T,,6",6.92,,,,"3,6",15.7,"3,,,6",-1.85,",,,6",,
USC00267192,1948-05,5,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",1.7,0,1.7,"3,6",4,",6",4,",6",0,",6",0,0,0,",6",0,",6",9,",6",0,"3,6",15,"3,6",0,"3,6",0,0,0,0,-6.7,",6,09,",0,0,0,",T,6,08,",6.4,",,6,19,",31.7,"3,6,25,",0,0,0,0,181.4,"3,6",0,0,0,0,19.3,",,,6",0,",T,,6",12.09,,Monthly Average,,"3,6",21.43,"3,,,6",2.75,",,,6",,
USC00267192,1948-06,6,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",33.1,0,31.4,",6",2,",6",2,",6",0,",6",0,0,0,",6",0,",6",0,",6",0,",6",26,",6",2,",6",0,0,0,0,3.3,",6,22,",0,0,0,",,6,30,+",22.9,",,6,05,",36.1,",6,29,",2089,"4,,,6",0,0,46.5,",6",0,0,0,0,35.9,",,,6",0,",,,6",17.83,,1,-0.27,",6",26.34,",,,6",9.32,",,,6",4628,",,,6"
USC00267192,1948-07,7,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",150.1,0,117,"1,0",0,",0",0,",0",0,",0",0,",0",0,",0",0,"1,0",1,"1,0",0,",0",31,",0",17,",0",0,0,0,0,0,"1,0,05,",0,",,0,31,+",0,",,0,31,+",0,",,0,31,+",38.9,",0,18,",285.2,"4,,,0",14.1,0,14.1,",0",0,0,0,0,0,",,,0",0,",,,0",21.73,,2,2.22,"1,0",32.15,",,,0",11.3,"1,,,0",5286,",,,0"
USC00267192,1948-08,8,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",195.7,0,45.6,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",11,",0",0,0,0,0,4.4,",0,24,+",0,",,0,31,+",0,",,0,31,+",0,",,0,31,+",35,",0,02,+",249.9,"4,,,0",26.4,0,12.3,",0",0,0,0,0,0,",,,0",0,",,,0",19.41,,3,4.72,",0",31.09,",,,0",7.72,",,,0",3131,"4,,,0"
USC00267192,1948-09,9,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",216.1,0,20.4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",0,",0",5,",0",0,",0",26,",0",9,",0",0,0,0,0,-3.9,",0,27,",0,",,0,30,+",0,",,0,30,+",2,",,0,24,",35,",0,10,+",0,0,113.2,0,86.8,",0",0,0,0,0,3.3,",,,0",0,",,,0",16.12,,4,9.27,",0",27.58,",,,0",4.67,",,,0",3756,"2,,,0"
USC00267192,1948-10,10,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",216.4,0,0.3,",0",1,"2,0",1,"2,0",0,"2,0",0,",0",0,",0",0,",0",19,",0",0,",0",18,",0",0,",0",0,0,0,0,-9.4,",0,28,",0,",,0,31,+",0,",,0,31,+",5.1,"2,,0,15,",28.9,",0,03,+",0,0,363.4,0,250.2,",0",0,0,0,0,20.3,",a,,0",0,",,,0",10.27,,5,13.87,",0",20.91,",,,0",-0.37,",,,0",3752,",,,0"
USC00267192,1948-11,11,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",216.4,0,0,",0",1,",0",1,",0",0,",0",1,",0",1,",0",0,",0",25,",0",0,",0",0,",0",0,",0",0,0,0,0,-14.4,",0,27,",51,",,0,26,",46,",,0,26,",4.6,",,0,26,",15.6,",0,16,+",0,0,868.5,0,505.1,",0",0,0,0,0,4.6,",,,0",46,",,,0",1.5,,6,18.51,",0",10.04,",,,0",-7.05,",,,0",,
USC00267192,1948-12,12,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",216.4,0,0,",0",4,",0",1,",0",0,",0",0,0,3,",0",3,",0",29,",0",10,",0",0,",0",0,",0",0,0,0,0,-21.7,",0,15,",0,0,165,",,0,14,",4.3,",,0,14,",11.7,",0,13,",0,0,1529.3,0,660.8,",0",0,0,0,0,9.1,",,,0",267,",,,0",-2.98,,7,22.96,",0",3.89,",,,0",-9.85,",,,0",,
USC00267192,1949-01,1,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,0,5,",0",4,",0",0,",0",0,0,4,",0",15,",0",31,",0",0,0,0,0,0,0,0,0,0,0,-33.3,",0,25,",0,0,117,",,0,14,",9.4,",,0,14,",0,0,0,0,0,0,0,0,0,0,0,0,30.3,",,,0",367,",,,0",0,,8,21.38,0,0,0,-18.69,",,,0",,
USC00267192,1949-02,2,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,"1,0",4,",0",1,",0",0,",0",18,"1,0",2,",0",6,"1,0",26,"1,0",10,"1,0",0,"1,0",0,"1,0",0,0,0,0,-28.3,"1,0,13,",203,"1,,0,08,+",66,",,0,05,",3,",,0,05,",13.9,"1,0,28,",0,0,0,0,575.5,"1,0",0,0,0,0,5.1,",,,0",119,",,,0",-2.98,,9,17.14,"1,0",4.34,"1,,,0",-10.31,"1,,,0",,
USC00267192,1949-03,3,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,"1,0",6,",0",4,",0",0,",0",1,"2,0",2,",0",0,",0",28,",0",0,"1,0",0,"1,0",0,"1,0",1,0,0,0,-7.2,",0,25,",102,"2,,0,08,",102,",,0,08,",15.2,",,0,08,",19.4,"1,0,15,",0,0,0,0,397.1,"1,0",0,0,0,0,34.8,",,,0",127,",,,0",5.05,,10,10.98,"1,0",12.21,"1,,,0",-2.12,",,,0",,
USC00267192,1949-04,4,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,2.5,",0",3,",0",1,",0",0,",0",0,",0",0,",0",0,",0",13,",0",0,",0",20,",0",1,",0",0,0,0,0,-5.6,",0,04,+",0,",,0,30,+",0,",,0,30,+",3.6,",,0,08,",33.3,",0,17,",0,0,0,0,188.4,",0",0,0,0,0,7.2,",,,0",0,",,,0",12.14,,11,4.43,",0",23.1,",,,0",1.18,",,,0",,
USC00267192,1949-05,5,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,7,",0",11,",0",7,",0",0,",0",0,",0",0,",0",0,",0",2,",0",0,",0",17,",0",2,",0",0,0,3,0,-0.6,",0,07,",0,",,0,31,+",0,",T,0,14,+",13.7,",,0,29,",32.2,",0,26,+",0,0,0,0,135.8,",0",0,0,0,0,48.1,",,,0",0,",T,,0",14.18,,12,0.22,",0",22.51,",,,0",5.85,",,,0",4056,"2,,,0"
USC00267192,1949-06,6,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,47,",0",1,",0",1,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",27,",0",6,",0",0,0,0,0,2.2,",0,20,+",0,",,0,30,+",0,",,0,30,+",7.6,",,0,19,",35.6,",0,10,",293.7,"2,,,0",0,0,36.8,",0",0,0,0,0,7.6,",,,0",0,",,,0",18.67,,,,",0",28.64,",,,0",8.7,",,,0",5375,"1,,,0"
USC00267192,1949-07,7,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,132.8,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",24,",0",0,0,0,0,5.6,",0,21,+",0,",,0,31,+",0,",,0,31,+",0,",T,0,11,+",37.8,",0,30,+",346.7,"2,,,0",0.2,0,0.2,",0",0,0,0,0,0,",T,,0",0,",,,0",22.61,,,,",0",33.93,",,,0",11.29,",,,0",3781,"4,,,0"
USC00267192,1949-08,8,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,99.4,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",15,",0",0,0,0,0,3.9,",0,24,",0,",,0,31,+",0,",,0,31,+",0,",T,0,28,+",37.8,",0,04,+",313.2,",,,0",2.9,0,2.7,",0",0,0,0,0,0,",T,,0",0,",,,0",21.45,,,,",0",32.39,",,,0",10.51,",,,0",3640,",,,0"
USC00267192,1949-09,9,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,25.4,",0",3,",0",1,",0",0,",0",0,",0",0,",0",0,",0",1,",0",0,",0",29,",0",7,",0",0,0,0,0,-1.1,",0,18,",0,",,0,30,+",0,",,0,30,+",2.8,",,0,26,",36.7,",0,01,",230.4,"3,,,0",49,0,46.1,",0",0,0,0,0,6.4,",,,0",0,",,,0",17.64,,,,",0",29.26,",,,0",6.02,",,,0",4208,",,,0"
USC00267192,1949-10,10,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,1.7,",0",2,",0",0,",0",0,",0",0,",0",0,",0",0,",0",17,",0",0,",0",15,",0",0,",0",0,0,0,0,-10,",0,18,",0,",,0,31,+",0,",T,0,19,+",1,",,0,07,",28.9,",0,04,",124.2,"2,,,0",328.6,0,279.6,",0",0,0,0,0,1.5,",,,0",0,",T,,0",9.37,,,,",0",19.52,",,,0",-0.79,",,,0",4081,"3,,,0"
USC00267192,1949-11,11,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",2,",0",1,",0",0,",0",0,",0",0,",0",0,",0",23,",0",0,",0",9,",0",0,",0",0,0,0,0,-7.8,",0,22,+",0,",,0,30,+",0,",,0,30,+",5.3,",,0,10,",24.4,",0,02,",0,0,661.6,0,333,",0",0,0,0,0,6.3,",,,0",0,",,,0",7.23,,,,",0",17.82,",,,0",-3.35,",,,0",,
USC00267192,1949-12,12,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",4,",0",0,",0",0,",0",0,0,1,",0",2,",0",31,",0",3,",0",0,",0",0,",0",0,0,0,0,-22.2,",0,20,",0,0,38,",,0,19,",1.5,",,0,19,",15.6,",0,01,",0,0,1264.8,0,603.2,",0",0,0,0,0,3.5,",,,0",46,",,,0",-1.12,,,,",0",6.9,",,,0",-9.15,",,,0",,
USC00267192,1950-01,1,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",4,"3,0",1,"3,0",0,"3,0",10,"3,0",3,",0",5,",0",25,",0",7,",0",0,",0",0,",0",0,0,0,0,-26.7,",0,03,",76,"3,,0,02,",76,",,0,02,",3.8,"3,,0,02,",16.1,",0,17,",0,0,1893.5,0,628.7,",0",0,0,0,0,9.9,"1,a,,0",216,",a,,0",-1.95,,,,",0",5.03,",,,0",-8.93,",,,0",,
USC00267192,1950-02,2,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",3,",0",0,",0",0,",0",3,",0",0,",0",2,",0",27,",0",3,",0",1,",0",0,",0",0,0,0,0,-23.3,",0,02,",25,",,0,03,+",0,",T,0,10,",2.3,",,0,05,",21.1,",0,26,",0,0,2328.7,0,435.2,",0",0,0,0,0,3.3,",,,0",0,",T,,0",2.79,,,,",0",12.19,",,,0",-6.61,",,,0",,
USC00267192,1950-03,3,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",6,",0",5,",0",0,",0",0,",0",1,",0",0,",0",25,",0",0,",0",4,",0",0,",0",0,0,0,0,-16.7,",0,12,",0,",T,0,11,",51,",,0,11,",7.6,",,0,24,",23.3,",0,31,",0,0,2751.3,0,422.6,",0",0,0,0,0,20.6,",,,0",51,",,,0",4.7,,,,",0",12.72,",,,0",-3.32,",,,0",,
USC00267192,1950-04,4,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",3,",0",1,",0",0,",0",0,",0",0,",0",0,",0",18,",0",0,",0",13,",0",0,",0",0,0,0,0,-6.1,",0,11,+",0,",,0,30,+",0,",T,0,14,+",4.1,",,0,13,",28.9,",0,20,",0,0,3008.8,0,257.5,",0",0,0,0,0,8.4,",,,0",0,",T,,0",9.75,,,,",0",19.86,",,,0",-0.37,",,,0",,
USC00267192,1950-05,5,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",12.5,0,12.5,",0",4,",0",2,",0",0,",0",0,",0",1,",0",0,",0",8,",0",0,",0",22,",0",2,",0",0,0,2,0,-6.1,",0,09,",0,",,0,31,+",51,",,0,04,",3.8,",,0,03,",32.2,",0,31,+",261.3,"3,,,0",3165.5,0,156.7,",0",0,0,0,0,9.4,",,,0",51,",,,0",13.68,,,,",0",23.35,",,,0",4.02,",,,0",5154,"3,,,0"
USC00267192,1950-06,6,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",60,0,47.5,",0",4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",2,",0",0,",0",27,",0",7,",0",0,0,3,0,-0.6,",0,08,",0,",,0,30,+",0,",T,0,07,",5.3,",,0,11,",38.9,",0,30,",220.5,"4,,,0",3215.8,0,50.3,",0",0,0,0,0,11,",,,0",0,",T,,0",18.24,,,,",0",28.35,",,,0",8.13,",,,0",4347,"3,,,0"
USC00267192,1950-07,7,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",220.3,0,160.3,"1,0",2,",0",1,",0",0,",0",0,"1,0",0,",0",0,"1,0",0,"1,0",0,"1,0",30,"1,0",24,"1,0",0,0,5,0,9.4,"1,0,28,+",0,"1,,0,31,+",0,",T,0,15,",10.9,",,0,10,",40,"1,0,01,",327.1,"3,,,0",0,0,0,"1,0",0,0,0,0,12.9,",,,0",0,",T,,0",23.68,,,,"1,0",34.3,"1,,,0",13.05,"1,,,0",8224,"1,,,0"
USC00267192,1950-08,8,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",345.2,0,124.9,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",20,",0",0,0,4,0,4.4,",0,05,",0,",,0,31,+",0,",,0,31,+",0,",T,0,11,+",37.8,",0,31,",330.3,",,,0",2.8,0,2.8,",0",0,0,0,0,0,",T,,0",0,",,,0",22.27,,,,",0",33.77,",,,0",10.78,",,,0",3852,",,,0"
USC00267192,1950-09,9,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",387.4,0,42.2,",0",1,"2,0",1,"2,0",0,"2,0",0,",0",0,",0",0,",0",1,",0",0,",0",27,",0",6,",0",0,0,1,0,-6.1,",0,30,",0,",,0,30,+",0,",,0,30,+",14.2,"2,,0,18,",39.4,",0,02,+",175,"3,,,0",75.7,0,72.9,",0",0,0,0,0,21.8,",a,,0",0,",,,0",17.31,,,,",0",26.32,",,,0",8.29,",,,0",3341,"1,,,0"
USC00267192,1950-10,10,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",387.4,0,0,",0",3,",0",1,",0",0,",0",0,",0",0,",0",0,",0",9,",0",0,",0",22,",0",0,",0",0,0,0,0,-5,",0,02,",0,",,0,31,+",0,",,0,31,+",5.8,",,0,27,",29.4,",0,11,",143.7,"3,,,0",252.1,0,176.4,",0",0,0,0,0,9.1,",,,0",0,",,,0",12.64,,,,",0",22.77,",,,0",2.51,",,,0",7043,",,,0"
USC00267192,1950-11,11,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",387.4,0,0,",0",6,",0",4,",0",0,",0",0,",0",0,",0",0,",0",19,",0",0,",0",2,",0",0,",0",3,0,0,0,-12.2,",0,10,",0,",,0,30,+",0,",T,0,15,+",9.4,",,0,19,",21.1,",0,06,+",0,0,586.3,0,334.2,",0",0,0,0,0,33.3,",,,0",0,",T,,0",7.19,,,,",0",15.04,",,,0",-0.65,",,,0",,
USC00267192,1950-12,12,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",387.4,0,0,",0",6,",0",3,",0",0,",0",0,",0",0,",0",0,",0",25,",0",0,",0",0,",0",0,",0",7,0,0,0,-7.8,",0,02,",0,",,0,31,+",0,",T,0,31,+",5.3,",,0,03,",13.9,",0,15,",0,0,1060.9,0,474.6,",0",0,0,0,0,15.6,",,,0",0,",T,,0",3.02,,,,",0",8.54,",,,0",-2.49,",,,0",,
USC00267192,1951-01,1,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",4,",0",1,",0",0,",0",1,",0",1,",0",0,",0",28,",0",2,",0",0,",0",0,",0",0,0,0,0,-17.2,",0,31,",25,",,0,18,",30,",,0,18,",7.4,",,0,18,",13.9,",0,26,+",0,0,1602.8,0,541.9,",0",0,0,0,0,10.2,",,,0",43,",,,0",0.85,,,,",0",6.86,",,,0",-5.16,",,,0",,
USC00267192,1951-02,2,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",6,",0",2,",0",0,",0",0,",0",2,",0",0,",0",23,",0",0,",0",1,",0",0,",0",0,0,0,0,-12.2,",0,19,+",0,",T,0,28,+",76,",,0,26,+",3.3,",,0,12,",21.7,",0,10,",0,0,2049.8,0,447,",0",0,0,0,0,10.4,",,,0",172,",,,0",2.37,,,,",0",9.19,",,,0",-4.45,",,,0",,
USC00267192,1951-03,3,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",3,",0",2,",0",0,",0",1,"1,0",2,"1,0",1,",0",28,",0",2,",0",0,",0",0,",0",0,0,0,0,-17.8,",0,03,",51,"1,,0,03,",89,"1,,0,03,",3,",,0,04,",20.6,",0,20,",0,0,2497,0,447.2,",0",0,0,0,0,7.1,",,,0",165,"1,,,0",3.91,,,,",0",12.59,",,,0",-4.78,",,,0",,
USC00267192,1951-04,4,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",0,0,0,",0",4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",13,",0",0,",0",16,",0",0,",0",0,0,1,0,-7.8,",0,01,",0,",,0,30,+",0,",T,0,29,+",15.5,",,0,28,",27.8,",0,13,",0,0,2713.4,0,216.4,",0",0,0,0,0,22.6,",,,0",0,",T,,0",11.12,,,,",0",20.43,",,,0",1.81,",,,0",,
USC00267192,1951-05,5,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",10.1,0,10.1,",0",6,",0",1,",0",0,",0",0,",0",0,",0",0,",0",3,",0",0,",0",21,",0",1,",0",0,0,1,0,-2.2,",0,02,",0,",,0,31,+",0,",T,0,12,+",3.3,",,0,06,",32.8,",0,26,",0,0,2858.6,0,145.2,",0",0,0,0,0,7.7,",,,0",0,",T,,0",13.97,,,,",0",23.18,",,,0",4.77,",,,0",4315,"3,,,0"
USC00267192,1951-06,6,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",83.4,0,73.3,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",1,",0",0,",0",27,",0",11,",0",0,0,0,0,-1.1,",0,01,",0,",,0,30,+",0,",,0,30,+",0,",T,0,17,",35,",0,30,+",325.6,"2,,,0",2912.5,0,53.9,",0",0,0,0,0,0,",T,,0",0,",,,0",18.98,,,,",0",28.63,",,,0",9.33,",,,0",5276,"2,,,0"
USC00267192,1951-07,7,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",238.4,0,155,",0",1,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",28,",0",0,0,0,0,3.3,",0,06,",0,",,0,31,+",0,",,0,31,+",0.5,",,0,20,",39.4,",0,18,",352.5,"2,,,0",2.8,0,2.8,",0",0,0,0,0,0.5,",,,0",0,",,,0",23.25,,,,",0",34.43,",,,0",12.06,",,,0",3603,"3,,,0"
USC00267192,1951-08,8,40.4661,-118.3047,1260.3,"RYE PATCH DAM, NV US",348.8,0,110.4,",0",2,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",19,",0",0,0,0,0,1.7,",0,30,",0,",,0,31,+",0,",,0,31,+",2,",,0,21,",36.7,",0,18,+",299.7,"2,,,0",18.3,0,15.5,",0",0,0,0,0,3.8,",,,0",0,",,,0",21.39,,,,",0",32.17,",,,0",10.61,",,,0",6565,"2,,,0"
