"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093230","1969",,"2.8","2.8",,,,"        16","       225","        34","        99","         0",,,,"-26.7",,"30.0","-0.6","-2.2","-8.9","-8.9","-8.9","-2.2","-2.2","-4.4","-7.2","-11.1",,,,"5.2","13.0","-2.7",,,,
"USW00093230","1971",,"18.5","18.5",,,,"        13","       229","        29","        95","         0",,,,"-23.3",,"31.1","0.0","-3.3","-5.0","-7.2","-10.6","0.0","-2.8","-5.0","-10.6","-10.6","4617.8","4617.8",,"5.1","12.6","-2.5",,,,
"USW00093230","1972",,"15.8","15.8",,,,"        17","       195","        17","       101","         3",,,,"-33.9",,"33.3","-3.3","-3.3","-5.6","-8.9","-8.9","-0.6","-2.8","-4.4","-6.7","-9.4","4520.3","4520.3",,"5.9","13.8","-2.1",,,,
"USW00093230","1973",,"0.5","0.5",,,,"         7","       217","        17","       108","         0",,,,"-21.1",,"29.4","-4.4","-4.4","-4.4","-8.3","-11.7","0.0","-2.2","-5.0","-7.8","-15.0","4686.9","4686.9",,"5.6","13.3","-2.0",,,,
"USW00093230","1974",,"2.2","2.2",,,,"         6","       241","        19","       120","         0",,,,"-22.8",,"29.4","-2.2","-2.2","-4.4","-8.3","-10.6","-1.7","-2.8","-4.4","-13.9","-13.9","4456.7","4456.7",,"5.9","14.1","-2.3",,,,
"USW00093230","1975",,"1.5","1.5",,,,"        12","       232","        36","        98","         0",,,,"-21.1",,"30.6","-1.1","-2.8","-4.4","-11.1","-11.1","-0.6","-4.4","-4.4","-7.8","-8.9","4751.2","4751.2",,"4.5","12.2","-3.2",,,,
"USW00093230","1976",,"2.7","2.7",,,,"         3","       248","        10","        79","         0",,,,"-22.8",,"30.0","0.0","-3.3","-4.4","-8.3","-10.6","0.0","-3.9","-6.1","-7.8","-10.0","4650.2","4650.2",,"5.8","14.6","-2.9",,,,
"USW00093230","1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4638.9","4638.9",,,,,,,,
"USW00093230","1978",,"6.5","6.5",,,,"         8","       266","        21","        87","         1",,,,"-23.3",,"32.2","0.0","-2.2","-5.6","-6.7","-8.9","-1.1","-2.2","-4.4","-8.9","-8.9",,,,"4.8","12.9","-3.2",,,,
"USW00093230","1979",,"1.1","1.1",,,,"        15","       252","        25","       115","         0",,,,"-28.9",,"30.0","-1.7","-2.2","-10.6","-10.6","-10.6","-2.8","-2.8","-5.0","-9.4","-9.4","5066.8","5066.8",,"4.8","13.4","-3.8",,,,
"USW00093230","1980",,"1.1","1.1",,,,"         2","       262","        12","        91","         0",,,,"-18.9",,"31.7","-0.6","-3.3","-4.4","-7.8","-9.4","0.0","-2.8","-4.4","-7.8","-9.4","4830.7","4830.7",,"5.2","13.4","-2.9",,,,
"USW00093230","1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4421.8","4421.8",,,,,,,,
"USW00093230","1982",,,,,,,"         6","       194",,,,,,,"-26.7",,,"-0.6","-3.3","-5.6","-7.8","-10.0","0.0","-2.8","-5.6","-9.4","-9.4",,,,,,"-1.4",,,,
