Station,Year,Avg. Wind Speed,Cooling Degree Days (Season-to-Date),Cooling Degree Days,Num. of Days (>= 0.3 mm),Num. of Days (>= 2.5 mm),Num. of Days (>= 25.4 mm),Num. of Days (>= 25 mm) of Snow Depth,Num. of Days (>= 25 mm) of Snowfall,Num. of Days (<= -17.8) of Max Temp,Num. of Days (<= 0) of Min Temp,Num. of Days (<= 0) of Max Temp,Num. of Days (>= 21.1) of Max Temp,Num. of Days (>= 32.2) of Max Temp,Num. of Days with Fog,Num. of Days with Heavy Fog,Num. of Days with Thunderstorms,Extreme Min Annual Temp.,Highest Daily Snow Depth,Highest Daily Snowfall,Highest Daily Precipation,Extreme Max Annual Temp.,Temp of First Freeze (0 deg),Temp of First Freeze (-2.2 deg),Temp of First Freeze (-4.4 deg),Temp of First Freeze (-6.7 deg),Temp of First Freeze (-8.9 deg),Temp of Last Freeze (0 deg),Temp of Last Freeze (-2.2 deg),Temp of Last Freeze (-4.4 deg),Temp of Last Freeze (-6.7 deg),Heating Deg Days (Season-to-Date),Heating Deg Days,Total Annual Precipation,Avg. Annual % of Possible Sunshine,Total Annual Snowfall,Avg. Annual Temp,Avg. Annual Max Temp,Avg. Annual Min Temp,Annual Total Sunshine (Minutes),Wind Direction for Max Wind Speed,Wind Direction for Peak Wind Gust Speed (Fastest 5-Second),Wind Direction for Peak Wind Gust Speed,Wind Direction for Max Wind Speed/Fastest Mile,Max Wind Speed/Fastest 2-Minute,Peak Wind Gust Speed (Fastest 5 Second Wind),Peak Wind Gust Speed,Maximum Wind Speed/Fastest Mile
USW00024216,1892,,,,,,,,1,,,,,,,,,,,51,,,,,,,,,,,,,,,,64,,,,,,,,,,,,
USW00024216,1893,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1894,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1895,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1897,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1898,,,,50,30,2,,,,,,,,,,,,,,38.1,,,,,,,,,,,,,325.4,,,,,,,,,,,,,,
USW00024216,1899,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1900,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1902,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1903,,,,60,45,6,,,,,,,,6,,,,,,72.1,,,,,,,,,,,,,573.1,,,,,,,,,,,,,,
USW00024216,1904,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024216,1905,,,,62,38,6,,,,,,,,3,,,,,,43.7,,,,,,,,,,,,,588.3,,,,,,,,,,,,,,
USW00024216,1906,,,,92,66,11,,,,,,,,,,,,,,61,,,,,,,,,,,,,"1,024.30",,,,,,,,,,,,,,
USW00024216,1907,,,,84,55,2,,,,,,,,,,,,,,46.7,,,,,,,,,,,,,612.3,,,,,,,,,,,,,,
USW00024216,1908,,,,54,33,5,,,,,,,,,,,,,,53.3,,,,,,,,,,,,,453.3,,,,,,,,,,,,,,
USW00024216,1909,,,,87,60,13,,,,,,,,,,,,,,98.3,,,,,,,,,,,,,902.6,,,,,,,,,,,,,,
USW00024216,1910,,,,68,42,2,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,369.9,,,,,,,,,,,,,,
USW00024216,1911,,,,62,40,3,,,,,,,,,,,,,,54.4,,,,,,,,,,,,,566.7,,,,,,,,,,,,,,
USW00024216,1913,,,,66,44,6,,,,,,,,,,,,,,55.9,,,,,,,,,,,,,646.9,,,,,,,,,,,,,,
USW00024216,1914,,,,73,50,9,,,,,,,,,,,,,,58.2,,,,,,,,,,,,,706.8,,,,,,,,,,,,,,
USW00024216,1915,,,,78,53,14,,,,,,,,,,,,,,60.2,,,,,,,,,,,,,918.4,,,,,,,,,,,,,,
USW00024216,1916,,,,73,40,3,,,,,,,,,,,,,,54.4,,,,,,,,,,,,,509.9,,,,,,,,,,,,,,
USW00024216,1917,,,,44,27,2,,,,,,,,,,,,,,50.8,,,,,,,,,,,,,360.7,,,,,,,,,,,,,,
USW00024216,1919,,,,62,38,2,,,,,,,,,,,,,,33,,,,,,,,,,,,,395.6,,,,,,,,,,,,,,
