STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024213,1942,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,X,134,X,84,X,8,X,0,,0,X,0,X,2,X,0,X,7,X,0,X,,,,,,,-2.2,"X,0101, ",0," ,X,1231,+",0,"T,X,0314, ",44.5," ,X,0203, ",23.3,"X,0121, ",,,,,,,-0.6,"X,0102",-2.2,"X,0101",,,,,1032.9," ,X",,,0,"T,X",11.63,X,14.56,X,8.7,X,,,,,,,,,,,,,,,,,,
USW00024213,1943,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,X,103,X,60,X,8,X,0,,0,X,0,X,3,X,0,X,8,X,0,X,,,,,,,-3.3,"X,0118, ",0," ,X,1231,+",0," ,X,1231,+",54.6," ,X,0530, ",25.6,"X,0216, ",,,,,,,0,"X,0209",-3.3,"X,0118",2440.1,1,2440.1,X,829.9," ,X",,,0," ,X",11.69,X,14.7,X,8.67,X,,,,,,,,,,,,,,,,,,
USW00024213,1944,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.9,,0.9,X,135,X,76,X,7,X,0,,0,X,0,X,0,X,0,X,5,X,0,X,,,,,,,0.6,"X,0212, ",0," ,X,1231,+",0," ,X,1231,+",58.7," ,X,1030, ",25,"X,1028, ",,,,,,,,,,,2543.1,1,2543.1,X,916," ,X",,,0," ,X",11.15,X,14.02,X,8.28,X,,,,,,,,,,,,,,,,,,
USW00024213,1945,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.9,,1.9,X,143,X,91,X,9,X,0,,0,X,0,X,3,X,0,X,9,X,0,X,,,,,,,-0.6,"X,1213,+",0," ,X,1231,+",0," ,X,1231,+",106.7," ,X,0213, ",29.4,"X,0617, ",0,"X,1212",,,,,-0.6,"X,0121",,,2605.8,8,2605.8,X,1242.7," ,X",,,0," ,X",11.05,X,14.06,X,8.03,X,,,,,,,,,,,,,,,,,,
USW00024213,1946,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.3,,0.3,X,110,X,61,X,6,X,0,,0,X,0,X,6,X,0,X,3,X,0,X,,,,,,,0,"X,1230,+",0," ,X,1231,+",0,"T,X,0210, ",47.8," ,X,1118, ",24.4,"X,0923,+",0,"X,1230",,,,,0,"X,0212",,,2682.8,8,2682.8,X,628.1," ,X",,,0,"T,X",10.95,X,14.15,X,7.75,X,,,,,,,,,,,,,,,,,,
USW00024213,1947,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,2.3,,2.3,X,101,X,54,X,3,X,0,,0,X,0,X,2,X,0,X,14,X,0,X,,,,,,,-1.1,"X,0115, ",0," ,X,1231,+",0," ,X,1231,+",50," ,X,1015, ",26.7,"X,0921, ",,,,,,,-1.1,"X,0115",,,2543,0,2543,X,660.2," ,X",,,0," ,X",11.81,X,14.96,X,8.66,X,,,,,,,,,,,,,,,,,,
USW00024213,1948,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,143,0,95,0,11,0,0,,0,0,0,0,10,0,0,0,4,0,0,0,139, ,,,3, ,-2.2,"0,1223, ",0," ,0,1231,+",0,"T,0,0402, ",55.9," ,0,0105, ",22.8,"0,1002, ",0,"0,1204",-2.2,"0,1223",,,-0.6,"X,0211",,,2594.3,3,2594.3,0,1144.5," ,0",,,0,"T,0",10.52,0,13.65,0,7.38,0,,,,,,,,,,,,,,,,,,
USW00024213,1949,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,100,0,54,0,7,0,0,,0,0,0,0,21,0,0,0,6,0,0,0,132, ,,,4, ,-2.8,"0,0111, ",0," ,0,1231,+",0,"T,0,1209,+",57.4," ,0,0315, ",25.6,"0,0506, ",0,"0,1211",,,,,-1.7,"0,0213",-2.2,"0,0125",2883,0,2883,0,714.5," ,0",,,0,"T,0",10.69,0,13.84,0,7.54,0,,,,,,,,,,,,,,,,,,
USW00024213,1950,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,134,0,96,0,9,0,0,,1,0,0,0,13,0,0,0,4,0,0,0,144, ,,,2, ,-3.3,"0,0103, ",0,"T,0,1231,+",38," ,0,0102, ",128," ,0,1029, ",25,"0,1109, ",,,,,,,0,"0,0312",-2.8,"0,0201",2821.8,8,2821.8,0,1354.8," ,0",,,71," ,0",11.19,0,14.11,0,8.27,0,,,,,,,,,,,,,,,,,,
USW00024213,1951,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,116,0,73,0,11,0,0,,0,0,0,0,6,0,0,0,2,0,0,0,162, ,,,5, ,-2.2,"0,0130, ",0," ,0,1231,+",0,"T,0,1230,+",72.4," ,0,0203, ",21.7,"0,1117,+",-1.1,"0,1207",,,,,-1.1,"0,0310",-2.2,"0,0130",2537.5,5,2537.5,0,1144.2," ,0",,,0,"T,0",10.73,0,13.45,0,8,0,,,,,,,,,,,,,,,,,,
USW00024213,1952,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,129,0,82,0,4,0,0,,1,0,0,0,4,0,0,0,6,0,0,0,185, ,,,8, ,-1.1,"0,0101, ",0," ,0,1231,+",25," ,0,0217, ",69.3," ,0,1206, ",25.6,"0,0914,+",,,,,,,0,"0,0313",,,2832,0,2832,0,1044.6," ,0",,,38," ,0",10.55,0,13.41,0,7.69,0,,,,,,,,,,,,,,,,,,
USW00024213,1953,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,137,0,90,0,11,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,145, ,,,4, ,0.6,"0,1224,+",0," ,0,1231,+",0,"T,0,1204,+",94," ,0,0117, ",25,"0,1004, ",,,,,,,,,,,2715.1,1,2715.1,0,1278.9," ,0",,,0,"T,0",11.31,0,14.27,0,8.36,0,,,,,,,,,,,,,,,,,,
USW00024213,1954,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,116,0,81,0,10,0,0,,0,0,0,0,4,0,0,0,8,0,0,0,150, ,,,3, ,-1.1,"0,1227,+",0," ,0,1231,+",0,"T,0,1206,+",76.2," ,0,1230, ",24.4,"0,0925, ",0,"0,1226",,,,,0,"0,0312",,,2583.7,7,2583.7,0,1085.1," ,0",,,0,"T,0",11.12,0,14.11,0,8.13,0,,,,,,,,,,,,,,,,,,
USW00024213,1955,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,120,0,70,0,7,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,193, ,,,5, ,-1.1,"0,1229,+",0," ,0,1231,+",20," ,0,0227, ",57.7," ,0,1119, ",20.6,"0,0925, ",-1.1,"0,1115",,,,,0,"0,0315",,,2869.7,7,2869.7,0,928," ,0",,,20," ,0",10.01,0,12.87,0,7.15,0,,,,,,,,,,,,,,,,,,
USW00024213,1956,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.4,,1.4,0,106,0,67,0,10,0,0,,0,0,0,0,6,0,0,0,3,0,0,0,184, ,,,3, ,-1.1,"0,1207, ",0," ,0,1231,+",0,"T,0,1206,+",41.9," ,0,1210, ",25,"0,0516, ",0,"0,1206",,,,,0,"0,0216",,,2793.2,2,2793.2,0,977.7," ,0",,,0,"T,0",10.75,0,13.78,0,7.72,0,,,,,,,,,,,,,,,,,,
USW00024213,1957,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.6,,0.6,0,132,0,85,0,8,0,0,,0,0,0,0,6,0,0,0,6,0,0,0,161, ,,,6, ,-2.2,"0,0129,+",0," ,0,1231,+",0,"T,0,0125, ",47.8," ,0,1113, ",22.8,"0,1008,+",,,,,,,-1.1,"0,0130",-2.2,"0,0129",2677.5,5,2677.5,0,1039.4," ,0",,,0,"T,0",11.68,0,14.66,0,8.7,0,,,,,,,,,,,,,,,,,,
USW00024213,1958,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,3.6,,3.6,0,116,0,76,0,14,0,0,,0,0,0,0,1,0,0,0,8,0,0,0,166, ,,,10, ,0,"0,1116, ",0," ,0,1231,+",0," ,0,1231,+",44.5," ,0,0128, ",29.4,"0,0906, ",0,"0,1116",,,,,,,,,2196.5,5,2196.5,0,1039.2," ,0",,,0," ,0",12.41,0,15.4,0,9.41,0,,,,,,,,,,,,,,,,,,
USW00024213,1959,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,86,0,55,0,7,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,157, ,,,2, ,0.6,"0,1231,+",0," ,0,1231,+",0," ,0,1231,+",122.9," ,0,0214, ",22.8,"0,1126, ",,,,,,,,,,,2380.3,3,2380.3,0,740.8," ,0",,,0," ,0",11.34,0,14.42,0,8.26,0,,,,,,,,,,,,,,,,,,
