STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00024172,1948,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,,,,,,,,,,,,,,,,,,,,,,,,,5, ,,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024172,1949,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,363,,363,0,45,0,19,0,0,0,36,,7,0,39,0,170,0,40,0,176,0,58,0,26, ,,,19, ,-38.9,"0,0125, ",330," ,0,0122, ",170," ,0,0119, ",13.7," ,0,0119, ",38.9,"0,0803,+",-1.1,"0,1007",-5.6,"0,1009",-5.6,"0,1009",-8.3,"0,1018",-8.9,"0,1105",-2.8,"0,0430",-2.8,"0,0430",-4.4,"0,0404",-7.8,"0,0329",-11.1,"0,0219",,,,,129.3," ,0",624," ,0",8.93,0,18.77,0,-0.92,0,,,,,,,,
USW00024172,1950,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,426.6,,426.6,0,41,0,15,0,1,0,0,,2,0,11,0,163,0,8,0,179,0,65,0,28, ,,,16, ,-22.2,"0,0103, ",0,"T,0,1231,+",46," ,0,1202, ",26.9," ,0,1118, ",41.1,"0,0630, ",-6.7,"0,0930",-6.7,"0,0930",-6.7,"0,0930",-6.7,"0,0930",-9.4,"0,1110",0,"0,0612",-2.2,"0,0608",-6.1,"0,0509",-6.7,"0,0415",-10,"0,0323",3398.3,3,3398.3,0,112.5," ,0",86," ,0",11.05,0,20.6,0,1.5,0,,,,,,,,
USW00024172,1951,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,470.1,,470.1,0,29,0,15,0,1,0,6,,4,0,0,0,155,0,5,0,173,0,72,0,13, ,,,8, ,-15.6,"0,0131, ",51," ,0,1203,+",102," ,0,0118, ",25.4," ,0,1024, ",40,"0,0718, ",0,"0,0922",-3.3,"0,1005",-4.4,"0,1006",-7.8,"0,1022",-9.4,"0,1117",-1.1,"0,0514",-6.7,"0,0401",-6.7,"0,0401",-6.7,"0,0401",-11.1,"0,0303",2698.6,6,2698.6,0,136.2," ,0",310," ,0",11.3,0,20.24,0,2.35,0,,,,,,,,
USW00024172,1952,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,391.8,,391.8,0,35,0,14,0,0,0,0,,2,0,0,0,171,0,0,0,190,0,70,0,11, ,,,16, ,-17.2,"0,1129,+",0,"T,0,1231,+",51," ,0,0314, ",20.1," ,0,0910, ",38.9,"0,0709, ",-0.6,"0,0910",-2.2,"0,1022",-11.1,"0,1103",-11.1,"0,1103",-11.1,"0,1103",-1.7,"0,0612",-2.8,"0,0421",-4.4,"0,0415",-7.2,"0,0323",-8.9,"0,0322",3276,0,3276,0,116.1," ,0",116," ,0",10.8,0,20.33,0,1.28,0,,,,,,,,
USW00024172,1953,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,385.4,,385.4,0,37,0,10,0,0,0,1,,1,0,0,0,173,0,2,0,175,0,73,0,7, ,,,5, ,-16.7,"0,1228, ",25," ,0,0301, ",25," ,0,0301, ",14.7," ,0,0830, ",38.3,"0,0718,+",-1.1,"0,1003",-2.8,"0,1016",-4.4,"0,1025",-7.8,"0,1107",-11.1,"0,1118",0,"0,0525",-3.3,"0,0511",-5.6,"0,0502",-11.1,"0,0411",-11.1,"0,0411",3029.5,5,3029.5,0,78.2," ,0",46," ,0",11.13,0,21.04,0,1.21,0,,,,,,,,
USW00024172,1954,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,349.4,,349.4,0,24,0,6,0,0,0,3,,3,0,2,0,180,0,1,0,193,0,65,0,7, ,,,3, ,-18.9,"0,1227, ",25," ,0,1229,+",112," ,0,0316, ",11.2," ,0,0427,+",40.6,"0,0801, ",-1.7,"0,0916",-5.6,"0,0918",-5.6,"0,0918",-6.7,"0,1025",-8.9,"0,1028",-2.8,"0,0606",-2.8,"0,0606",-4.4,"0,0502",-7.8,"0,0331",-10,"0,0326",2897.3,3,2897.3,0,63.1," ,0",229," ,0",11.03,0,21.64,0,0.42,0,,,,,,,,
USW00024172,1955,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,378.5,,378.5,0,28,0,13,0,0,0,6,,4,0,1,0,177,0,9,0,171,0,71,0,12, ,,,3, ,-17.8,"0,0108, ",127," ,0,1117, ",102," ,0,1116, ",18," ,0,0918, ",41.1,"0,0903, ",-1.7,"0,0926",-3.3,"0,1024",-5,"0,1025",-7.2,"0,1027",-9.4,"0,1102",-2.2,"0,0525",-2.2,"0,0525",-11.1,"0,0427",-11.1,"0,0427",-11.1,"0,0427",3436.8,8,3436.8,0,91.5," ,0",268," ,0",10.06,0,19.84,0,0.28,0,,,,,,,,
USW00024172,1956,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,388.5,,388.5,0,33,0,15,0,0,0,15,,2,0,9,0,177,0,6,0,169,0,75,0,13, ,,,11, ,-20.6,"0,1208,+",102," ,0,0126, ",152," ,0,0125, ",12.4," ,0,1007, ",39.4,"0,0708,+",-1.1,"0,1013",-2.2,"0,1015",-7.8,"0,1024",-7.8,"0,1024",-9.4,"0,1028",-2.8,"0,0514",-2.8,"0,0514",-8.9,"0,0404",-8.9,"0,0404",-8.9,"0,0404",3176.2,2,3176.2,0,113.7," ,0",198," ,0",10.05,0,19.79,0,0.31,0,,,,,,,,
USW00024172,1957,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,306.7,,306.7,0,43,0,16,0,0,0,0,,0,0,6,0,162,0,5,0,150,0,81,0,7, ,,,9, ,-20,"0,0109, ",0,"T,0,0321,+",5," ,0,0124, ",18.5," ,0,1020, ",40.6,"0,0708, ",-0.6,"0,0919",-2.2,"0,1006",-6.7,"0,1106",-6.7,"0,1106",-10,"0,1117",-1.1,"0,0503",-2.2,"0,0417",-4.4,"0,0415",-8.9,"0,0407",-8.9,"0,0407",3371.5,5,3371.5,0,136.5," ,0",5," ,0",10.13,0,19.91,0,0.35,0,,,,,,,,
USW00024172,1958,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,517.9,,517.9,0,33,0,12,0,0,0,1,,0,0,1,0,172,0,1,0,183,0,83,0,3, ,,,14, ,-19.4,"0,1117, ",25," ,0,0228, ",13," ,0,0228, ",21.1," ,0,0611, ",40,"0,0813,+",-1.1,"0,0923",-6.7,"0,0924",-6.7,"0,0924",-6.7,"0,0924",-8.9,"0,1021",0,"0,0507",-2.8,"0,0427",-6.1,"0,0405",-6.7,"0,0331",-10,"0,0310",3136.4,4,3136.4,0,113.5," ,0",13," ,0",11.62,0,21.59,0,1.65,0,,,,,,,,
USW00024172,1959,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,464,,464,0,20,0,5,0,0,0,2,,2,0,6,0,189,0,3,0,170,0,73,0,9, ,,,7, ,-20.6,"0,0104,+",51," ,0,0211, ",30," ,0,0211, ",10.2," ,0,0211, ",41.7,"0,0717, ",-1.7,"0,0915",-3.9,"0,0928",-5,"0,1003",-7.2,"0,1104",-13.3,"0,1105",-2.2,"0,0530",-2.2,"0,0530",-4.4,"0,0421",-7.2,"0,0420",-9.4,"0,0325",3040.2,2,3040.2,0,42.5," ,0",71," ,0",10.47,0,20.82,0,0.12,0,,,,,,,,
USW00024172,1960,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,438.7,,438.7,0,32,0,9,0,0,0,0,,0,0,6,0,180,0,6,0,185,0,87,0,14, ,,,9, ,-22.2,"0,0104, ",0,"T,0,0422,+",15," ,0,0218,+",18.5," ,0,1106, ",42.8,"0,0719, ",-1.1,"0,0823",-2.8,"0,0923",-4.4,"0,1014",-8.9,"0,1027",-8.9,"0,1027",-0.6,"0,0524",-5,"0,0522",-5,"0,0522",-6.7,"0,0424",-9.4,"0,0423",3438,0,3438,0,80.1," ,0",66," ,0",10.44,0,20.51,0,0.37,0,,,,,,,,
USW00024172,1961,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,523.9,,523.9,0,34,0,16,0,0,0,4,,1,0,4,0,175,0,6,0,166,0,68,0,11, ,,,17, ,-19.4,"0,1121, ",51," ,0,1121, ",97," ,0,1120, ",20.1," ,0,0805, ",41.7,"0,0804,+",-1.1,"0,0923",-2.8,"0,0930",-7.8,"0,1022",-7.8,"0,1022",-12.2,"0,1106",-1.7,"0,0513",-4.4,"0,0505",-4.4,"0,0505",-8.9,"0,0420",-8.9,"0,0420",3256.6,6,3256.6,0,139.6," ,0",97," ,0",10.51,0,20.03,0,1,0,,,,,,,,
USW00024172,1962,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,331.3,,331.3,0,43,0,12,0,0,0,6,,3,0,9,0,175,0,13,0,183,0,67,0,24, ,,,10, ,-23.3,"0,0123, ",51," ,0,0119,+",51," ,0,0118,+",23.9," ,0,0210, ",38.3,"0,0814, ",-0.6,"0,0919",-2.8,"0,1006",-4.4,"0,1106",-8.3,"0,1107",-11.7,"0,1117",-1.1,"0,0521",-2.8,"0,0520",-5,"0,0430",-6.7,"0,0324",-10,"0,0314",3535.4,4,3535.4,0,121.1," ,0",135," ,0",10.07,0,19.53,0,0.61,0,,,,,,,,
USW00024172,1963,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,306.2,,306.2,0,58,0,27,0,1,0,2,,5,0,11,0,162,0,5,0,160,0,62,0,22, ,,,20, ,-27.2,"0,0112, ",25," ,0,0317,+",58," ,0,0317, ",41.1," ,0,0523, ",37.2,"0,0816,+",-0.6,"0,1013",-4.4,"0,1024",-4.4,"0,1024",-6.7,"0,1031",-9.4,"0,1116",0,"0,0512",-3.3,"0,0428",-5,"0,0424",-7.2,"0,0423",-10,"0,0417",3331.8,8,3331.8,0,217.5," ,0",179," ,0",10.16,0,19.3,0,1.02,0,,,,,,,,
USW00024172,1964,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,313.5,,313.5,0,37,0,14,0,0,0,3,,4,0,0,0,179,0,5,0,171,0,53,0,14, ,,,8, ,-16.7,"0,0226, ",51," ,0,1205, ",51," ,0,1111, ",13.2," ,0,0526, ",37.8,"0,0727,+",0,"0,0902",-2.8,"X,1019",-5.6,"X,1024",-6.7,"0,1103",-10.6,"0,1114",-1.7,"0,0509",-7.8,"0,0506",-7.8,"0,0506",-7.8,"0,0506",-8.9,"0,0424",3397.6,6,3397.6,0,94.3," ,0",198," ,0",9.68,0,18.88,0,0.49,0,,,,,,,,
USW00024172,1965,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,290,,290,0,49,0,22,0,0,0,1,,1,0,0,0,179,0,5,0,169,0,39,0,16, ,5, ,12, ,-17.2,"0,0101, ",25," ,0,0410, ",25," ,0,0409, ",12.2," ,0,1123,+",37.2,"0,0729,+",-1.7,"0,0917",-2.2,"0,0920",-5.6,"0,1017",-7.8,"0,1110",-8.9,"0,1129",-1.7,"0,0512",-2.2,"0,0509",-5,"0,0413",-7.8,"0,0328",-12.2,"0,0320",3217.6,6,3217.6,0,149.5," ,0",38," ,0",10.2,0,19.08,0,1.31,0,,,,,,,,
USW00024172,1966,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,351.6,,351.6,0,35,0,10,0,0,0,6,,5,0,0,0,174,0,5,0,196,0,76,0,17, ,14, ,9, ,-17.2,"0,0121, ",51," ,0,0210,+",51," ,0,1206, ",19.1," ,0,0918, ",41.1,"0,0729, ",-0.6,"0,1005",-2.8,"0,1013",-6.1,"0,1014",-6.7,"0,1015",-11.1,"0,1109",-1.1,"0,0512",-3.3,"0,0430",-10.6,"0,0427",-10.6,"0,0427",-10.6,"0,0427",3121.6,6,3121.6,0,83.7," ,0",175," ,0",10.68,0,20.53,0,0.82,0,,,,,,,,
USW00024172,1967,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,544.1,,544.1,0,51,0,24,0,0,0,1,,3,0,1,0,182,0,6,0,158,0,77,0,12, ,4, ,16, ,-17.8,"0,1231, ",25," ,0,0331, ",28," ,0,0415, ",24.4," ,0,0609, ",40.6,"0,0701, ",0,"0,1004",-2.8,"0,1006",-4.4,"0,1017",-8.9,"0,1122",-8.9,"0,1122",-2.8,"0,0514",-2.8,"0,0514",-4.4,"0,0503",-6.7,"0,0501",-9.4,"0,0325",3354.9,9,3354.9,0,201.1," ,0",93," ,0",10.69,0,19.58,0,1.8,0,,,,,,,,
USW00024172,1968,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,439.5,,439.5,0,41,0,17,0,0,0,2,,2,0,3,0,168,0,3,0,160,0,62,0,19, ,6, ,15, ,-21.1,"0,0104, ",25," ,0,0131,+",25," ,0,0130,+",25.1," ,0,1103, ",39.4,"0,0626, ",-2.8,"0,0921",-2.8,"0,0921",-6.1,"0,1009",-7.8,"0,1113",-9.4,"0,1114",0,"0,0515",-2.2,"0,0514",-5,"0,0423",-8.3,"0,0422",-9.4,"0,0321",3071.2,2,3071.2,0,131.3," ,0",55," ,0",10.75,0,19.47,0,2.03,0,,,,,,,,
USW00024172,1969,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,472.7,,472.7,0,46,0,22,0,0,0,8,,4,0,0,0,175,0,5,0,171,0,67,0,36, ,11, ,13, ,-15.6,"0,0110, ",102," ,0,0125, ",102," ,0,0124, ",12.4," ,0,0121, ",39.4,"0,0802,+",0,"0,1003",-5,"0,1004",-5,"0,1004",-8.9,"0,1117",-8.9,"0,1117",-1.1,"0,0503",-3.9,"0,0427",-4.4,"0,0408",-7.8,"0,0325",-12.8,"0,0225",3204.3,3,3204.3,0,147.1," ,0",255," ,0",10.86,0,19.44,0,2.28,0,,,,,,,,
