STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
USC00045983,1948,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",,,,,,,,,,,,,,,,,,,,,,,,,44, ,,,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00045983,1949,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",134.6,,134.6,0,91,0,47,0,7,0,65,,16,0,0,0,139,0,24,0,155,0,18,0,40, ,,,10, ,-17.2,"0,0213, ",356," ,0,0211,+",254," ,0,0206, ",57.2," ,0,0317, ",35,"0,0714, ",-1.1,"0,1007",-4.4,"0,1019",-4.4,"0,1019",-12.2,"0,1211",-12.2,"0,1211",0,"0,0504",-2.2,"0,0430",-4.4,"0,0320",-6.7,"0,0214",-17.2,"0,0213",3717.8,8,3717.8,0,606.3," ,0",1471," ,0",9.41,0,16.87,0,1.94,0,,,,
USC00045983,1950,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",248.6,,248.6,0,102,0,63,0,15,0,39,,19,0,2,0,135,0,17,0,139,0,35,0,49, ,,,19, ,-18.9,"0,0115, ",940," ,0,0111,+",411," ,0,0203, ",104.9," ,0,1029, ",38.3,"0,0902,+",-3.3,"0,0930",-3.3,"0,0930",-5,"0,1110",-7.2,"0,1201",,,-1.7,"0,0608",-2.2,"0,0505",-6.1,"0,0327",-8.3,"0,0312",-12.8,"0,0203",3305.8,8,3305.8,0,1162.2," ,0",3073," ,0",10.13,0,17.26,0,2.99,0,,,,
USC00045983,1951,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",211.2,,211.2,0,87,0,58,0,8,0,71,,26,0,0,0,138,0,8,0,148,0,34,0,43, ,,,10, ,-12.8,"0,0130, ",660," ,0,0121, ",343," ,0,0121, ",69.1," ,0,1226, ",36.1,"0,0817,+",-1.1,"0,1005",-2.2,"0,1016",-5.6,"0,1116",-6.7,"0,1202",-8.9,"0,1207",-3.3,"0,0512",-3.3,"0,0512",-5.6,"0,0317",-7.2,"0,0311",-9.4,"0,0310",3050,0,3050,0,957.3," ,0",2835," ,0",9.96,0,17.25,0,2.67,0,,,,
USC00045983,1952,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",204.4,,204.4,0,102,0,78,0,14,0,106,,44,0,0,0,147,0,14,0,146,0,26,0,17, ,,,,,-12.2,"0,0221, ",1321," ,0,0124,+",950," ,0,1206, ",103.6," ,0,1206, ",35.6,"0,0709,+",0,"0,1101",-2.8,"0,1102",-4.4,"0,1116",-7.8,"0,1123",-8.9,"0,1128",-1.1,"0,0613",-3.9,"0,0612",-8.3,"0,0322",-8.3,"0,0322",-10,"0,0313",3470.6,6,3470.6,0,1185.9," ,0",8881," ,0",9.75,0,16.88,0,2.62,0,,,,
USC00045983,1953,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",144.5,,144.5,0,97,0,57,0,7,0,25,,17,0,0,0,129,0,1,0,123,0,16,0,,,,,,,-8.9,"0,0127, ",762," ,0,0107,+",292," ,0,0319, ",63.5," ,0,1113, ",35,"0,0910, ",-0.6,"0,1015",-2.8,"0,1024",-6.1,"0,1207",,,,,-3.3,"0,0524",-3.3,"0,0524",-4.4,"0,0501",-7.8,"0,0409",-8.9,"0,0127",3281,0,3281,0,835.8," ,0",1855," ,0",9.81,0,16.66,0,2.95,0,,,,
USC00045983,1954,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",96.4,,96.4,0,88,0,63,0,12,0,43,,24,0,0,0,137,0,2,0,128,0,15,0,,,,,,,-12.8,"0,1227, ",762," ,0,0128, ",577," ,0,0127, ",85.3," ,0,0116, ",34.4,"0,0801,+",0,"0,0917",-3.9,"0,1026",-8.9,"0,1129",-8.9,"0,1129",-8.9,"0,1129",0,"0,0605",-6.1,"0,0501",-6.1,"0,0501",-7.8,"0,0313",-10,"0,0124",3061.2,2,3061.2,0,1081.8," ,0",3486," ,0",9.53,0,16.56,0,2.49,0,,,,
USC00045983,1955,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",156.1,,156.1,0,68,0,49,0,11,0,59,,25,0,0,0,160,0,9,0,128,0,29,0,,,,,,,-12.8,"0,0228,+",610," ,0,0118, ",483," ,0,0117, ",101.9," ,0,1221, ",39.4,"0,0902, ",-0.6,"0,0915",-2.2,"0,1011",-5.6,"0,1031",-6.7,"0,1112",-8.9,"0,1115",0,"0,0514",-10,"0,0427",-10,"0,0427",-10,"0,0427",-10,"0,0427",3599.6,6,3599.6,0,907.3," ,0",3664," ,0",9,0,16.24,0,1.76,0,,,,
USC00045983,1956,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",118.5,,118.5,0,74,0,52,0,6,0,44,,16,0,0,0,136,0,7,0,141,0,13,0,,,,,,,-15,"0,0201, ",711," ,0,0220, ",734," ,0,0219, ",70.9," ,0,0221, ",36.1,"0,0723, ",-1.7,"0,1013",-2.2,"0,1019",-5,"0,1024",-6.7,"0,1115",-13.3,"0,1205",0,"0,0511",-2.2,"0,0406",-4.4,"0,0327",-8.9,"0,0312",-8.9,"0,0312",3386.1,1,3386.1,0,762.7," ,0",2389," ,0",9.43,0,16.68,0,2.18,0,,,,
USC00045983,1957,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",72.1,,72.1,0,102,0,64,0,17,0,49,,18,0,0,0,135,0,7,0,122,0,6,0,,,,,,,-16.7,"0,0129, ",533," ,0,0121,+",348," ,0,0119, ",86.4," ,0,0926, ",32.8,"0,0906, ",0,"0,0919",-2.8,"0,1007",-5.6,"0,1102",-7.2,"0,1129",,,-0.6,"0,0503",-3.3,"0,0415",-5.6,"0,0323",-7.8,"0,0210",-11.1,"0,0204",3354.9,9,3354.9,0,1234.4," ,0",2304," ,0",9.1,0,15.97,0,2.24,0,,,,
