STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00023230,1948,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,28,,28,0,71,0,42,0,1,0,0,,0,0,0,0,6,0,0,0,80,0,2,0,58, ,,,3, ,-1.7,"0,1223,+",0," ,0,1231,+",0," ,0,1231,+",27.9," ,0,1226, ",33.9,"0,0714, ",-1.7,"0,1222",,,-1.1,"X,0212",,,,,,,369.1," ,0",0," ,0",13.04,0,17.74,0,8.34,0,,,,,,,,,,,,,,,,
USW00023230,1949,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,75.7,,75.7,0,51,0,30,0,3,0,0,,0,0,0,0,26,0,0,0,115,0,5,0,54, ,,,4, ,-3.9,"0,0105, ",0,"T,0,0322, ",0,"T,0,0322,+",38.9," ,0,1109, ",37.2,"0,0604, ",0,"0,1211",,,-2.2,"0,0214",-2.2,"0,0214",1972.6,6,1972.6,0,380.9," ,0",0,"T,0",13.45,0,18.28,0,8.62,0,,,,,,,,,,,,,,,,
USW00023230,1950,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,98.8,,98.8,0,74,0,46,0,7,0,0,,0,0,0,0,13,0,0,0,127,0,9,0,71, ,,,1, ,-2.8,"0,0106,+",0," ,0,1231,+",0,"T,0,0111,+",47.2," ,0,1118, ",36.1,"0,0902, ",,,,,-2.2,"0,0201",-2.2,"0,0201",1855.5,5,1855.5,0,665.2," ,0",0,"T,0",14.04,0,18.96,0,9.12,0,,,,,,,,,,,,,,,,
USW00023230,1951,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,50.9,,50.9,0,71,0,35,0,6,0,0,,0,0,0,0,5,0,0,0,92,0,4,0,61, ,,,2, ,-0.6,"0,0131, ",0," ,0,1231,+",0,"T,0,1230,+",47.5," ,0,1228, ",34.4,"0,0525, ",0,"0,1209",,,-0.6,"0,0131",,,1534.5,5,1534.5,0,564.1," ,0",0,"T,0",13.7,0,18.2,0,9.2,0,,,,,,,,,,,,,,,,
USW00023230,1952,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,82.4,,82.4,0,65,0,44,0,3,0,0,,0,0,0,0,3,0,0,0,114,0,6,0,60, ,,,4, ,-1.7,"0,0102, ",0," ,0,1231,+",0,"T,0,0319,+",40.4," ,0,1205, ",37.2,"0,0901, ",,,,,-0.6,"0,0103",,,1772.6,6,1772.6,0,565," ,0",0,"T,0",13.82,0,18.41,0,9.23,0,,,,,,,,,,,,,,,,
USW00023230,1953,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,68.4,,68.4,0,61,0,31,0,2,0,0,,0,0,0,0,1,0,0,0,97,0,5,0,76, ,,,1, ,0,"0,0303, ",0," ,0,1231,+",0,"T,0,0301,+",29.5," ,0,0427, ",35.6,"0,0913, ",,,,,0,"0,0303",,,1664.4,4,1664.4,0,251," ,0",0,"T,0",14.04,0,18.84,0,9.23,0,,,,,,,,,,,,,,,,
USW00023230,1954,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,73.7,,73.7,0,58,0,35,0,2,0,0,,0,0,0,0,2,0,0,0,103,0,6,0,49, ,,,1, ,-0.6,"0,1226, ",0," ,0,1231,+",0,"T,0,0321,+",32.8," ,0,1209, ",35.6,"0,0728, ",-0.6,"0,1226",,,0,"0,0125",,,1614.3,3,1614.3,0,394.9," ,0",0,"T,0",13.92,0,18.67,0,9.17,0,,,,,,,,,,,,,,,,
USW00023230,1955,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,53.7,,53.7,0,63,0,38,0,3,0,0,,0,0,0,0,7,0,0,0,87,0,3,0,64, ,,,1, ,-0.6,"0,0114,+",0," ,0,1231,+",0,"T,0,0425, ",56.1," ,0,1222, ",35.6,"0,0901, ",,,,,0,"0,0228",,,1967.4,4,1967.4,0,528.6," ,0",0,"T,0",12.8,0,17.69,0,7.92,0,,,,,,,,,,,,,,,,
USW00023230,1956,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,50.9,,50.9,0,53,0,27,0,2,0,0,,0,0,0,0,7,0,0,0,108,0,5,0,51, ,,,2, ,-1.1,"0,1208,+",0," ,0,1231,+",0," ,0,1231,+",55.9," ,0,0114, ",34.4,"0,0516, ",-1.1,"0,1208",,,-1.1,"0,0218",,,1887.3,3,1887.3,0,334," ,0",0," ,0",13.38,0,18.35,0,8.41,0,,,,,,,,,,,,,,,,
USW00023230,1957,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,127.3,,127.3,0,79,0,45,0,4,0,0,,0,0,0,0,7,0,0,0,138,0,6,0,51, ,,,2, ,-1.7,"0,0203, ",0," ,0,1231,+",0,"T,0,0128, ",35.8," ,0,0518, ",37.2,"0,0624, ",,,,,0,"0,0204",,,1697.8,8,1697.8,0,497.8," ,0",0,"T,0",14.48,0,19.06,0,9.9,0,,,,,,,,,,,,,,,,
