STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00012841,1893,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012841,1894,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1768.8,,1768.8,6,128,6,77,6,12,6,,,,,0,6,3,6,0,6,341,6,87,6,2, ,,,99, ,-7.8,"6,1228, ",,,,,66.8," ,6,1013, ",36.1,"6,0818,+",-7.8,"61,228",-7.8,"61,228",-7.8,"61,228",-7.8,"61,228",,,,,,,,,,,,,1167.1," ,6",,,22.51,6,28.26,6,16.77,6,,,,,,,,,,,,,,,,
USW00012841,1895,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1787.2,,1787.2,6,122,6,82,6,11,6,,,,,0,6,4,6,0,6,316,6,118,6,,,,,59, ,-7.2,"6,0207, ",,,,,65," ,6,1015, ",36.1,"6,0823,+",,,,,,,,,-0.6,"60,213",-5.6,"60,208",-5.6,"60,208",-7.2,"60,207",396.1,1,396.1,6,1074.3," ,6",,,21.97,6,27.85,6,16.08,6,,,,,,,,,,,,,,,,
USW00012841,1896,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1637.5,,1637.5,6,117,6,84,6,11,6,,,,,0,6,0,6,0,6,310,6,80,6,,,,,57, ,0.6,"6,0217,+",,,,,79.5," ,6,0701, ",36.1,"6,0804, ",,,,,,,,,,,,,,,,,419.1,1,419.1,6,1261.1," ,6",,,21.69,6,26.91,6,16.48,6,,,,,,,,,,,,,,,,
USW00012841,1897,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,122,6,79,6,13,6,,,,,,,,,,,,,,,,,,,70, ,,,,,,,178.1," ,6,0920, ",,,,,,,,,,,,,,,,,,,,,,,1362.4," ,6",,,,,,,,,,,,,,,,,,,,,,,,
USW00012841,1898,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,116,6,62,6,6,6,,,,,0,6,5,6,0,6,307,6,89,6,,,,,58, ,-5,"6,0102,+",,,,,78.2," ,6,0720, ",36.7,"6,0718, ",-2.2,"61,211",-2.2,"61,211",,,,,-1.1,"60,201",-5,"60,102",-5,"60,102",,,402.6,6,402.6,6,937.5," ,6",,,22.08,6,27.4,6,16.77,6,,,,,,,,,,,,,,,,
USW00012841,1899,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1818.8,,1818.8,6,127,6,72,6,18,6,,,,,0,6,3,6,0,6,316,6,86,6,,,,,65, ,-6.7,"6,0214, ",,,,,124.7," ,6,1004, ",36.1,"6,0809,+",,,,,,,,,-6.7,"60,214",-6.7,"60,214",-6.7,"60,214",-6.7,"60,214",,,,,1392.3," ,6",,,22.45,6,27.3,6,17.6,6,,,,,,,,,,,,,,,,
USW00012841,1900,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1743.4,,1743.4,6,141,6,92,6,20,6,,,,,0,6,4,6,0,6,298,6,56,6,2, ,,,73, ,-3.3,"6,0218, ",,,,,115.8," ,6,0715, ",37.2,"6,0821, ",,,,,,,,,-1.1,"60,219",-3.3,"60,218",,,,,369.6,6,369.6,6,1622.1," ,6",,,21.91,6,26.34,6,17.48,6,,,,,,,,,,,,,,,,
USW00012841,1901,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1563.2,,1563.2,6,132,6,84,6,13,6,,,,,0,6,5,6,0,6,293,6,61,6,1, ,,,65, ,-3.9,"6,1221, ",,,,,114," ,6,0927, ",33.9,"6,0713,+",0,"61,218",-3.9,"61,221",,,,,0,"60,225",,,,,,,415.1,1,415.1,6,1456.5," ,6",,,21.12,6,26.1,6,16.15,6,,,,,,,,,,,,,,,,
USW00012841,1902,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,1872.1,,1872.1,6,100,6,71,6,14,6,,,,,0,6,3,6,0,6,305,6,83,6,3, ,,,53, ,-3.9,"6,1227, ",,,,,87.4," ,6,0614, ",37.2,"6,0822, ",-3.9,"61,227",-3.9,"61,227",,,,,-3.3,"60,114",-3.3,"60,114",,,,,560.3,3,560.3,6,1202," ,6",,,22.24,6,27.11,6,17.38,6,,,,,,,,,,,,,,,,
USW00012841,1903,28.54528,-81.33306,32.9,"ORLANDO EXECUTIVE AIRPORT, FL US",,,,,,,,,,,,,,,,,,,,,0,6,312,6,111,6,2, ,,,2, ,,,,,,,,,37.2,"6,0830,+",,,,,,,,,,,,,,,,,254,0,254,6,,,,,,,28.24,6,,,,,,,,,,,,,,,,,,
