STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00024231,1899,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,,,,,,,,,,,,,,,,,,,,,,,,,6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024231,1900,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,,,,,,,,,,,,,,,,,,,,,,,,,16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024231,1901,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,,,,,,,,,,,,,,,,,,,,,,,,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024231,1931,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,196.4,,196.4,0,121,0,70,0,7,0,0,,1,0,0,0,34,0,0,0,151,0,23,0,,,,,,,-5.6,"0,1123, ",0,"T,0,1228, ",38," ,0,1228, ",42.2," ,0,1022, ",38.9,"0,0719, ",-1.7,"0,1121",-5,"0,1122",-5,"0,1122",,,,,0,"0,0326",-2.2,"0,0307",,,,,,,,,,,781.4," ,0",38," ,0",12.56,0,18.63,0,6.5,0,,,,,,,,
USW00024231,1932,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,170.2,,170.2,0,135,0,74,0,1,0,5,,4,0,0,0,37,0,6,0,136,0,11,0,,,,,,,-15,"0,1211, ",127," ,0,0112, ",127," ,0,0112, ",25.9," ,0,1129, ",38.9,"0,0804, ",-0.6,"0,1205",-8.9,"0,1208",-8.9,"0,1208",-8.9,"0,1208",-8.9,"0,1208",-2.2,"0,0303",-2.2,"0,0303",-5,"0,0218",,,,,2505.7,7,2505.7,0,675.5," ,0",308," ,0",12.12,0,18,0,6.23,0,,,,,,,,
USW00024231,1933,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,185.3,,185.3,0,132,0,62,0,3,0,2,,3,0,0,0,29,0,0,0,131,0,17,0,,,,,,,-8.3,"0,0209, ",51," ,0,0125, ",84," ,0,0125, ",53.6," ,0,0102, ",37.2,"0,0814, ",-1.1,"0,1021",,,,,,,,,-2.2,"0,0323",-2.2,"0,0323",-6.1,"0,0210",-8.3,"0,0209",,,2583.1,1,2583.1,0,641.4," ,0",229," ,0",11.94,0,17.64,0,6.24,0,,,,,,,,
USW00024231,1934,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,218.5,,218.5,0,117,0,75,0,1,0,0,,0,0,0,0,2,0,0,0,189,0,18,0,,,,,,,-1.1,"0,0111, ",0," ,0,1231,+",0," ,0,1231,+",34.5," ,0,1023, ",40,"0,0902, ",,,,,,,,,,,0,"0,0211",,,,,,,,,1792.9,9,1792.9,0,750.2," ,0",0," ,0",14.29,0,20.58,0,8,0,,,,,,,,
USW00024231,1935,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,259.6,,259.6,0,110,0,63,0,2,0,4,,3,0,0,0,35,0,1,0,153,0,33,0,,,,,,,-7.8,"0,1103, ",76," ,0,0118, ",79," ,0,0117, ",38.1," ,0,1211, ",41.1,"0,0812, ",-1.1,"0,1101",-5,"0,1102",-5,"0,1102",-7.8,"0,1103",,,0,"0,0331",-2.2,"0,0310",,,,,,,2188.7,7,2188.7,0,657.2," ,0",236," ,0",12.34,0,18.66,0,6.02,0,,,,,,,,
USW00024231,1936,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,189.2,,189.2,0,120,0,65,0,4,0,0,,0,0,0,0,47,0,1,0,169,0,16,0,,,,,,,-4.4,"0,1112,+",0,"T,0,0331,+",13," ,0,0331, ",40.4," ,0,0112, ",36.1,"0,0827, ",-1.1,"0,1029",-3.3,"0,1102",-4.4,"0,1111",,,,,0,"0,0402",-3.9,"0,0401",,,,,,,2297.5,5,2297.5,0,708.2," ,0",26," ,0",12.66,0,19.03,0,6.29,0,,,,,,,,
USW00024231,1937,43.23889,-123.35472,160,"ROSEBURG REGIONAL AIRPORT, OR US",,,206.1,,206.1,0,161,0,93,0,7,0,3,,4,0,0,0,32,0,5,0,139,0,18,0,,,,,,,-13.9,"0,0108, ",25," ,0,0131,+",51," ,0,0131, ",41.9," ,0,1110,+",38.3,"0,0914, ",-0.6,"0,1225",,,,,,,,,0,"0,0318",-2.2,"0,0215",-8.9,"0,0121",-8.9,"0,0121",-8.9,"0,0121",2550.4,4,2550.4,0,1052.7," ,0",289," ,0",12.5,0,18.14,0,6.85,0,,,,,,,,
