STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00024235,1948,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,60.3,,60.3,0,159,0,99,0,7,0,,,40,0,0,0,158,0,24,0,73,0,2,0,200, ,,,9, ,-7.8,"0,1223, ",,,305," ,0,1202, ",80.8," ,0,0106, ",32.2,"0,0909,+",-0.6,"0,0923",-2.8,"0,1104",-4.4,"0,1126",-6.7,"0,1203",,,0,"X,0519",-2.2,"X,0501",-4.4,"X,0427",-6.7,"X,0206",,,,,,,1065.7," ,0",3956," ,0",7.24,0,11.81,0,2.67,0,,,,,,,,,,,,,,,,
USW00024235,1949,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,75.4,,75.4,0,102,0,47,0,2,0,69,,24,0,0,0,119,0,34,0,101,0,1,0,158, ,,,6, ,-13.3,"0,0110,+",533," ,0,0208,+",221," ,0,1109, ",41.4," ,0,0222, ",33.3,"0,0714, ",0,"0,1006",-2.2,"0,1017",-5.6,"0,1019",-7.2,"0,1210",,,-1.1,"0,0517",-2.2,"0,0402",-5,"0,0328",-9.4,"0,0213",-9.4,"0,0213",3920.9,9,3920.9,0,513.3," ,0",2119," ,0",8.62,0,13.66,0,3.57,0,,,,,,,,,,,,,,,,
USW00024235,1950,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,124.2,,124.2,0,151,0,99,0,6,0,69,,38,0,0,0,114,0,33,0,96,0,4,0,27, ,,,,,-13.3,"0,0103, ",1448," ,0,0116, ",320," ,0,0110, ",107.2," ,0,1028, ",33.3,"0,0816, ",-1.1,"0,0929",-3.9,"0,1114",,,,,,,0,"0,0607",-2.2,"0,0518",-5.6,"0,0328",-6.7,"0,0312",-8.9,"0,0311",3815.2,2,3815.2,0,1206.3," ,0",3329," ,0",8.52,0,13.17,0,3.86,0,,,,,,,,,,,,,,,,
USW00024235,1951,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,141.6,,141.6,0,121,0,85,0,6,0,59,,34,0,0,0,108,0,27,0,118,0,0,0,,,,,4, ,-11.1,"0,0129, ",711," ,0,0310,+",196," ,0,1229, ",36.6," ,0,1023, ",31.1,"0,0909,+",0,"0,1110",-2.8,"0,1204",-4.4,"0,1205",-7.2,"0,1207",,,-0.6,"0,0529",-2.2,"0,0430",-4.4,"0,0330",-7.2,"0,0310",-9.4,"0,0130",3353.1,1,3353.1,0,1008.8," ,0",2975," ,0",9.16,0,14.03,0,4.28,0,,,,,,,,,,,,,,,,
USW00024235,1952,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,230.7,,230.7,0,119,0,73,0,3,0,99,,43,0,0,0,112,0,37,0,112,0,3,0,,,,,,,-7.8,"0,0101, ",1727," ,0,0122, ",213," ,0,0318, ",37.6," ,0,1206, ",33.3,"0,0708, ",-0.6,"0,1112",-2.2,"0,1113",,,,,,,-1.7,"0,0612",-2.2,"0,0504",-5,"0,0321",-7.2,"0,0221",,,3761.3,3,3761.3,0,781," ,0",4406," ,0",9.25,0,13.77,0,4.73,0,,,,,,,,,,,,,,,,
USW00024235,1953,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,107.7,,107.7,0,156,0,93,0,5,0,46,,30,0,0,0,103,0,11,0,73,0,1,0,,,,,2, ,-6.7,"0,0302, ",508," ,0,0321, ",239," ,0,0318, ",95.8," ,0,1122, ",32.2,"0,0811, ",0,"0,1021",-2.2,"0,1116",,,,,,,-1.1,"0,0526",-2.2,"0,0521",-4.4,"0,0409",-6.7,"0,0302",,,3543,0,3543,0,1103.5," ,0",2518," ,0",8.48,0,12.78,0,4.18,0,,,,,,,,,,,,,,,,
USW00024235,1954,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,32,,32,0,118,0,70,0,7,0,61,,31,0,0,0,99,0,21,0,69,0,0,0,,,,,,,-7.8,"0,0125, ",1067," ,0,0127, ",417," ,0,0115, ",42.4," ,0,0127, ",28.9,"0,0713, ",-1.1,"0,1023",-3.3,"0,1128",-4.4,"0,1129",-7.2,"0,1227",,,0,"0,0606",-3.9,"0,0430",-4.4,"0,0317",-7.2,"0,0311",,,3424.2,2,3424.2,0,840.4," ,0",2879," ,0",8.57,0,13.07,0,4.08,0,,,,,,,,,,,,,,,,
USW00024235,1955,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,126,,126,0,148,0,87,0,5,0,101,,46,0,0,0,136,0,38,0,71,0,4,0,,,,,,,-11.7,"0,1115, ",533," ,0,0121, ",224," ,0,0115, ",67.1," ,0,1221, ",36.1,"0,0904, ",-1.1,"0,1030",-3.9,"0,1111",-6.7,"0,1112",-6.7,"0,1112",-10,"0,1114",0,"0,0601",-3.3,"0,0513",-5.6,"0,0427",-6.7,"0,0315",,,3963.7,7,3963.7,0,931," ,0",3349," ,0",7.51,0,11.88,0,3.14,0,,,,,,,,,,,,,,,,
USW00024235,1956,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,123,,123,0,132,0,77,0,8,0,105,,36,0,0,0,105,0,24,0,88,0,2,0,,,,,,,-12.8,"0,0216, ",1956," ,0,0306, ",318," ,0,0220, ",39.6," ,0,0106, ",33.3,"0,0718, ",-2.2,"0,1023",-2.2,"0,1023",-4.4,"0,1204",-7.2,"0,1206",,,0,"0,0527",-4.4,"0,0405",-4.4,"0,0405",-6.7,"0,0311",-8.9,"0,0306",3861.6,6,3861.6,0,907.3," ,0",3863," ,0",8.76,0,13.32,0,4.2,0,,,,,,,,,,,,,,,,
USW00024235,1957,42.6003,-123.3641,1168,"SEXTON SUMMIT, OR US",,,69,,69,0,128,0,80,0,6,0,68,,29,0,0,0,95,0,22,0,77,0,0,0,,,,,,,-10.6,"0,0128,+",457," ,0,0112, ",203," ,0,1217,+",44.5," ,0,0926, ",30,"0,0914,+",-0.6,"0,1003",-2.2,"0,1218",,,,,,,-0.6,"0,0520",-2.2,"0,0414",-5,"0,0321",-7.2,"0,0130",-9.4,"0,0129",3354,0,3354,0,920.7," ,0",2652," ,0",8.64,0,13.14,0,4.14,0,,,,,,,,,,,,,,,,
