STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00024221,1940,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,139.7,,139.7,0,144,0,90,0,5,0,0,,0,0,0,0,51,0,1,0,144,0,14,0,,,,,,,-10,"0,1214, ",0," ,0,1231,+",0," ,0,1231,+",45.7," ,0,1220, ",36.1,"0,0817,+",0,"0,1113",-3.3,"0,1114",-5,"0,1122",-7.2,"0,1211",-9.4,"0,1213",0,"0,0402",-3.3,"0,0122",-5,"0,0121",,,,,,,,,1031.8," ,0",0," ,0",12.29,0,18.41,0,6.17,0,,,,,,,,,,,,,,,,
USW00024221,1941,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,148.5,,148.5,0,153,0,90,0,7,0,0,,0,0,0,0,43,0,0,0,121,0,14,0,,,,,,,-5.6,"0,1231, ",0,"T,0,1227, ",10," ,0,1228, ",88.1," ,0,1202, ",38.9,"0,0715,+",0,"0,1117",-3.9,"0,1120",-4.4,"0,1121",,,,,0,"0,0324",-4.4,"0,0314",-4.4,"0,0314",,,,,2385.4,4,2385.4,0,980.6," ,0",13," ,0",12.01,0,17.94,0,6.07,0,,,,,,,,,,,,,,,,
USW00024221,1942,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,,,,,143,0,92,0,12,0,0,,0,0,0,0,54,0,2,0,125,0,14,0,,,,,,,-8.9,"0,0102,+",0," ,0,1231,+",0,"T,0,1206,+",41.1," ,0,1208,+",37.8,"0,0814, ",-1.1,"0,1109",-3.3,"0,1111",,,,,,,0,"0,0429",-3.9,"0,0324",-5.6,"0,0219",-6.7,"0,0106",-8.9,"0,0102",,,,,1123.6," ,0",0,"T,0",11.54,0,17.54,0,5.55,0,,,,,,,,,,,,,,,,
USW00024221,1943,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,109.9,,109.9,0,124,0,78,0,6,0,7,,3,0,0,0,73,0,3,0,122,0,9,0,,,,,,,-12.8,"0,0124, ",229," ,0,0125, ",178," ,0,0121, ",40.9," ,0,0121, ",35.6,"0,0923, ",-1.7,"0,1107",-2.8,"0,1126",-4.4,"0,1212",,,,,-1.1,"0,0426",-2.8,"0,0320",-5.6,"0,0125",-12.8,"0,0124",-12.8,"0,0124",2627.8,8,2627.8,0,841.4," ,0",356," ,0",11.16,0,16.9,0,5.41,0,,,,,,,,,,,,,,,,
USW00024221,1944,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,126.1,,126.1,0,121,0,70,0,2,0,0,,0,0,0,0,72,0,1,0,135,0,18,0,,,,,,,-8.9,"0,1215, ",0," ,0,1231,+",0,"T,0,0424,+",32.8," ,0,1103, ",38.3,"0,0905, ",-1.1,"0,1113",-3.9,"0,1116",-4.4,"0,1211",-6.7,"0,1213",-8.9,"0,1215",-0.6,"0,0425",-2.2,"0,0321",,,,,,,2697.3,3,2697.3,0,591.4," ,0",0,"T,0",11.24,0,17.55,0,4.93,0,,,,,,,,,,,,,,,,
USW00024221,1945,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,126.3,,126.3,0,154,0,100,0,6,0,0,,0,0,0,0,49,0,3,0,131,0,20,0,,,,,,,-6.7,"0,1214, ",0," ,0,1231,+",5," ,0,1229, ",57.2," ,0,1228, ",36.7,"0,0805,+",0,"0,0928",-2.2,"0,1024",-5.6,"0,1213",-6.7,"0,1214",,,-0.6,"0,0413",-2.2,"0,0305",-6.1,"0,0128",,,,,2629.6,6,2629.6,0,1160," ,0",5," ,0",11.48,0,17.56,0,5.41,0,,,,,,,,,,,,,,,,
USW00024221,1946,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,111,,111,0,143,0,91,0,9,0,0,,0,0,0,0,55,0,0,0,126,0,20,0,,,,,,,-7.2,"0,1230, ",0," ,0,1231,+",5," ,0,0129, ",43.4," ,0,0312, ",40.6,"0,0720, ",-3.3,"0,1016",-3.3,"0,1016",-4.4,"0,1229",-7.2,"0,1230",,,-0.6,"0,0430",-2.2,"0,0211",,,,,,,2592.3,3,2592.3,0,1034.3," ,0",5," ,0",11.13,0,17.27,0,4.99,0,,,,,,,,,,,,,,,,
USW00024221,1947,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,52.3,,52.3,0,158,0,97,0,6,0,0,,0,0,0,0,46,0,1,0,138,0,3,0,,,,,,,-8.9,"0,0104, ",0,"T,0,0112, ",18," ,0,0113, ",76.5," ,0,1015, ",32.8,"0,0523, ",-0.6,"0,1121",-3.3,"0,1122",,,,,,,-0.6,"0,0327",-3.9,"0,0227",-5.6,"0,0116",-8.9,"0,0104",-8.9,"0,0104",2657.1,1,2657.1,0,1044.5," ,0",31," ,0",11.68,0,17.7,0,5.66,0,,,,,,,,,,,,,,,,
USW00024221,1948,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,94.7,,94.7,0,174,0,109,0,6,0,2,,1,0,0,0,81,0,3,0,120,0,12,0,119, ,,,7, ,-8.3,"0,1224, ",25," ,0,1224,+",25," ,0,1224, ",80.8," ,0,0106, ",36.7,"0,0910, ",-1.1,"0,1017",-3.3,"0,1027",-4.4,"0,1109",-7.2,"0,1218",,,0,"0,0509",-2.2,"0,0310",-6.7,"0,0212",-6.7,"0,0212",,,2726.8,8,2726.8,0,1203.4," ,0",43," ,0",10.42,0,16.24,0,4.59,0,,,,,,,,,,,,,,,,
USW00024221,1949,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,82.4,,82.4,0,126,0,73,0,7,0,12,,8,0,0,0,77,0,9,0,133,0,8,0,129, ,,,3, ,-12.8,"0,0124, ",76," ,0,0121, ",71," ,0,0101, ",57.4," ,0,0217, ",36.1,"0,0714, ",-1.1,"0,1016",-2.8,"0,1018",-4.4,"0,1020",,,,,0,"0,0430",-5,"0,0213",-5,"0,0213",-8.3,"0,0126",-11.7,"0,0125",2962.4,4,2962.4,0,827.7," ,0",307," ,0",10.86,0,17.14,0,4.57,0,,,,,,,,,,,,,,,,
USW00024221,1950,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,169.4,,169.4,0,170,0,111,0,11,0,22,,13,0,4,0,50,0,7,0,124,0,23,0,107, ,,,2, ,-19.4,"0,0203,+",203," ,0,0131,+",183," ,0,0127, ",91.7," ,0,1115, ",37.2,"0,0820,+",-1.1,"0,1001",-2.8,"0,1113",,,,,,,-0.6,"0,0426",-2.8,"0,0312",-6.7,"0,0204",-6.7,"0,0204",-19.4,"0,0203",2912.2,2,2912.2,0,1397.9," ,0",936," ,0",11.37,0,17.34,0,5.39,0,,,,,,,,,,,,,,,,
USW00024221,1951,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,137,,137,0,127,0,89,0,8,0,4,,7,0,0,0,56,0,2,0,142,0,19,0,106, ,,,4, ,-10,"0,0130, ",51," ,0,1230,+",124," ,0,0305, ",38.6," ,0,0117, ",38.9,"0,0711, ",-1.1,"0,1031",-2.8,"0,1117",-4.4,"0,1226",,,,,-0.6,"0,0422",-2.2,"0,0323",-5.6,"0,0309",-10,"0,0130",-10,"0,0130",2423.8,8,2423.8,0,1091.8," ,0",408," ,0",11.56,0,18.16,0,4.95,0,,,,,,,,,,,,,,,,
USW00024221,1952,44.1278,-123.2206,107.6,"EUGENE MAHLON SWEET FIELD, OR US",,,136.6,,136.6,0,128,0,67,0,4,0,1,,2,0,0,0,78,0,1,0,144,0,22,0,139, ,,,5, ,-9.4,"0,1128,+",25," ,0,0121, ",81," ,0,0121, ",39.6," ,0,0628, ",37.8,"0,0803, ",0,"0,1016",-2.8,"0,1109",-6.7,"0,1123",-6.7,"0,1123",-9.4,"0,1126",0,"0,0505",-2.2,"0,0322",-4.4,"0,0102",,,,,2718.2,2,2718.2,0,744.8," ,0",122," ,0",11.21,0,17.87,0,4.55,0,,,,,,,,,,,,,,,,
