STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00049026,1975,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",337.2,,337.2,0,95,0,61,0,12,0,4,,4,0,0,0,102,0,0,0,160,0,65,0,,,,,-8.3,"0,0130, ",229," ,0,0318, ",203," ,0,0318, ",74.9," ,0,0318, ",40.6,"0,0726, ",,,-3.3,"0,1023",-3.3,"0,1023",-6.1,"0,1118",,,,,-0.6,"0,0505",-2.2,"0,0418",-4.4,"0,0401",-7.2,"0,0131",,,,,,,,,,,992.5," ,0",507," ,0",11.54,0,19.31,0,3.77,0,16654,0
USC00049026,1976,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",299.4,,299.4,0,66,0,38,0,2,0,0,,0,0,0,0,113,0,0,0,184,0,53,0,,,,,-7.8,"0,0102, ",0," ,0,1231,+",8," ,0,0303, ",41.9," ,0,0226, ",39.4,"0,0727,+",,,-2.2,"0,1027",-2.2,"0,1027",-6.1,"0,1128",,,,,-0.6,"0,0427",-3.3,"0,0416",-4.4,"0,0401",-6.7,"0,0210",,,2626.5,5,2626.5,0,,,,,395.7," ,0",13," ,0",12.25,0,20.65,0,3.86,0,16309,0
USC00049026,1977,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",491.8,,491.8,0,87,0,54,0,9,0,0,,2,0,0,0,87,0,0,0,170,0,84,0,,,,,-7.8,"0,0106, ",0," ,0,1231,+",30," ,0,1121,+",67.3," ,0,1214, ",42.2,"0,0801,+",,,-0.6,"0,1105",-2.2,"0,1118",-6.1,"0,1119",,,,,-1.1,"0,0517",-3.9,"0,0331",-4.4,"0,0328",-7.2,"0,0107",,,2437.7,7,2437.7,0,,,,,772.7," ,0",60," ,0",12.9,0,21.23,0,4.57,0,14773,0
USC00049026,1978,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",298.8,,298.8,0,88,0,59,0,6,0,0,,0,0,0,0,72,0,0,0,186,0,49,0,,,,,-9.4,"0,1231, ",0," ,0,1231,+",0," ,0,1231,+",38.9," ,0,0115, ",42.8,"0,0809,+",,,0,"0,0919",-3.9,"0,1030",-6.7,"0,1112",-6.7,"0,1112",-8.9,"0,1207",-1.1,"0,0422",-2.2,"0,0212",,,,,,,2247.1,1,2247.1,0,,,,,786," ,0",0," ,0",12.48,0,20.55,0,4.41,0,14408,0
USC00049026,1979,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",312.5,,312.5,0,96,0,69,0,10,0,,,0,0,0,0,76,0,0,0,174,0,60,0,,,,,-10,"0,0129, ",,,8," ,0,0222, ",88.6," ,0,0111, ",40.6,"0,0719, ",,,0,"0,1114",-2.2,"0,1120",-5,"0,1211",,,,,-1.7,"0,0419",-2.2,"0,0418",-7.2,"0,0203",-7.2,"0,0203",-9.4,"0,0130",2564.3,3,2564.3,0,,,,,965.3," ,0",8," ,0",12.37,0,20.14,0,4.61,0,15740,0
USC00049026,1980,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",300.2,,300.2,0,78,0,46,0,6,0,0,,0,0,0,0,83,0,0,0,169,0,62,0,,,,,-9.4,"0,0130, ",0," ,0,1231,+",0," ,0,1231,+",42.7," ,0,0218, ",40.6,"0,0728,+",,,0,"0,1016",-2.8,"0,1113",-4.4,"0,1115",-6.7,"0,1208",,,0,"0,0511",-2.2,"0,0407",-8.3,"0,0131",-8.3,"0,0131",-9.4,"0,0130",2477.9,9,2477.9,0,,,,,641.4," ,0",0," ,0",12.47,0,20.7,0,4.23,0,16076,0
USC00049026,1981,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",417.2,,417.2,0,100,0,68,0,9,0,0,,0,0,0,0,48,0,0,0,172,0,79,0,,,,,-3.3,"0,0207, ",0," ,0,1231,+",0," ,0,1231,+",74.7," ,0,1219, ",45,"0,0809, ",1409.8,0,0,"0,1013",,,,,,,,,0,"0,0516",-2.2,"0,0306",,,,,,,2222.6,6,2222.6,0,,,,,1047.6," ,0",0," ,0",13.26,0,21.25,0,5.26,0,,
USC00049026,1982,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",247,,247,0,100,0,67,0,9,0,,,4,0,0,0,120,0,0,0,168,0,50,0,,,,,-7.8,"0,0206,+",,,178," ,0,0104,+",50.8," ,0,1118, ",39.4,"0,0824,+",,,-0.6,"0,1102",-3.9,"0,1114",-4.4,"0,1228",,,,,-0.6,"0,0509",-2.2,"0,0416",-7.2,"0,0207",-7.2,"0,0207",,,2616,0,2616,0,,,,,942.4," ,0",432," ,0",11.38,0,19.37,0,3.39,0,11386,0
USC00049026,1983,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",207.5,,207.5,0,136,0,109,0,15,0,0,,1,0,0,0,58,0,0,0,163,0,45,0,,,,,-5,"0,0101, ",0," ,0,1231,+",51," ,0,1225, ",59.2," ,0,0301, ",39.4,"0,0807, ",,,0,"0,1107",-2.2,"0,1220",-4.4,"0,1222",,,,,-2.2,"0,0511",-2.2,"0,0511",-4.4,"0,0102",,,,,2653.7,7,2653.7,0,,,,,1540.6," ,0",59," ,0",11.84,0,18.78,0,4.9,0,12094,0
USC00049026,1984,40.7263,-122.7947,567.2,"TRINITY RIVER HATCHERY, CA US",350,,350,0,77,0,55,0,5,0,0,,1,0,0,0,94,0,0,0,157,0,73,0,,,,,-6.1,"0,0115,+",0," ,0,1231,+",25," ,0,1125, ",38.6," ,0,1128, ",41.7,"0,0704, ",,,0,"0,0925",-2.2,"0,1122",,,,,,,-1.1,"0,0428",-2.2,"0,0426",-6.1,"0,0115",,,,,2409.3,3,2409.3,0,,,20,0,690.8," ,0",25," ,0",11.92,0,19.88,0,3.97,0,13868,0
