STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00023169,1948,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1949,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1585.6,,1585.6,0,31,0,13,0,0,0,16,,5,0,0,0,69,0,0,0,245,0,132,0,9, ,,,16, ,-9.4,"0,1212, ",178," ,0,0112, ",119," ,0,0125,+",16.5," ,0,0112, ",45.6,"0,0715, ",0,"0,1021",-2.2,"0,1210",-5.6,"0,1211",-9.4,"0,1212",-9.4,"0,1212",-1.1,"0,0219",-2.8,"0,0217",-4.4,"0,0216",-7.8,"0,0214",-8.9,"0,0105",,,,,112.8," ,0",,,424," ,0",17.92,0,25.8,0,10.04,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1950,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1618.9,,1618.9,0,11,0,7,0,0,0,0,,0,0,0,0,36,0,0,0,265,0,143,0,,,,,13, ,-11.1,"0,0106,+",0," ,0,1231,+",0," ,0,1231,+",15.7," ,0,0907, ",46.1,"0,0702,+",-1.1,"0,1110",-4.4,"0,1111",-4.4,"0,1111",,,,,-1.7,"0,0314",-3.9,"0,0313",-5.6,"0,0202",-7.2,"0,0201",-8.9,"0,0127",1374.6,6,1374.6,0,59.5," ,0",,,0," ,0",19.44,0,27.69,0,11.19,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1951,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1576.8,,1576.8,0,24,0,8,0,0,0,0,,0,0,0,0,61,0,0,0,233,0,131,0,2, ,,,16, ,-6.1,"0,1209, ",0," ,0,1231,+",0,"T,0,0302,+",24.9," ,0,0928, ",44.4,"0,0628, ",0,"0,1103",-2.2,"0,1117",-6.1,"0,1209",,,,,0,"0,0319",-2.8,"0,0301",-4.4,"0,0228",,,,,1270.3,3,1270.3,0,72," ,0",,,0,"T,0",18.31,0,26.03,0,10.6,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1952,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1691.4,,1691.4,0,33,0,15,0,0,0,0,,0,0,0,0,48,0,0,0,229,0,146,0,4, ,,,15, ,-8.3,"0,0104, ",0," ,0,1231,+",0,"T,0,0320,+",18," ,0,0118, ",43.9,"0,0803, ",-0.6,"0,1124",-2.2,"0,1125",-6.1,"0,1127",,,,,-0.6,"0,0314",-2.8,"0,0303",-4.4,"0,0111",-8.3,"0,0104",,,1635.2,2,1635.2,0,141.4," ,0",,,0,"T,0",18.67,0,26.22,0,11.13,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1953,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1547.7,,1547.7,0,15,0,1,0,0,0,0,,0,0,0,0,39,0,0,0,248,0,127,0,,,,,12, ,-7.2,"0,1224, ",0," ,0,1231,+",0,"T,0,1120,+",2.8," ,0,1022, ",45,"0,0723, ",0,"0,1119",-2.2,"0,1206",-5,"0,1208",-7.2,"0,1224",,,0,"0,0409",-2.2,"0,0304",-6.7,"0,0222",-6.7,"0,0222",,,1351.7,7,1351.7,0,14.5," ,0",,,0,"T,0",18.84,0,26.83,0,10.86,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1954,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1742.9,,1742.9,0,24,0,10,0,1,0,0,,0,0,0,0,40,0,0,0,255,0,152,0,7, ,,,14, ,-6.7,"0,1228, ",0," ,0,1231,+",0," ,0,1231,+",30," ,0,0725, ",46.1,"0,0622, ",-1.7,"0,1130",-2.2,"0,1216",-6.7,"0,1228",-6.7,"0,1228",,,-1.1,"0,0318",-2.2,"0,0313",-5,"0,0114",,,,,1336,0,1336,0,119.8," ,0",,,0," ,0",19.57,0,27.49,0,11.65,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1955,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1519,,1519,0,24,0,13,0,2,0,0,,1,0,0,0,61,0,0,0,226,0,133,0,3, ,,,24, ,-6.1,"0,0222,+",0,"T,0,0218, ",38," ,0,0107, ",32.8," ,0,0804, ",43.9,"0,0608, ",-2.2,"0,1116",-2.2,"0,1116",-4.4,"0,1205",,,,,-0.6,"0,0403",-3.3,"0,0321",-4.4,"0,0224",,,,,1586.6,6,1586.6,0,137.5," ,0",,,38," ,0",18.16,0,25.81,0,10.52,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1956,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1669.9,,1669.9,0,11,0,4,0,1,0,0,,0,0,0,0,60,0,0,0,236,0,141,0,,,,,10, ,-8.9,"0,1209, ",0," ,0,1231,+",0,"T,0,1031, ",33.5," ,0,0724, ",45.6,"0,0628,+",-0.6,"0,1103",-3.3,"0,1104",-5,"0,1120",-8.9,"0,1209",-8.9,"0,1209",-0.6,"0,0316",-3.9,"0,0313",-6.1,"0,0217",,,,,1310.7,7,1310.7,0,51.8," ,0",,,0,"T,0",18.95,0,27.04,0,10.86,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1957,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1524.6,,1524.6,0,26,0,10,0,1,0,0,,1,0,0,0,44,0,0,0,231,0,118,0,8, ,,,10, ,-4.4,"0,0129, ",0,"T,0,0130, ",25," ,0,0129, ",65.5," ,0,0821, ",45,"0,0625, ",-0.6,"0,1118",-2.2,"0,1128",,,,,,,-0.6,"0,0206",-2.2,"0,0205",-4.4,"0,0129",,,,,1361.2,2,1361.2,0,126.6," ,0",,,25," ,0",18.73,0,25.86,0,11.6,0,,,,,,,,,,,,,,,,,,,,,,
