STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00049621,1962,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,,,,,,,,,1,0,,,,,,,,,,,6, ,,,,,,,76," ,0,0228, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494," ,0",76," ,0",,,,,,,,
USC00049621,1963,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,,,,,,,2,,2,0,,,,,,,,,,,,,1, ,,,203," ,0,0316, ",203," ,0,0316, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.5," ,0",289," ,0",,,,,,,,
USC00049621,1964,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,67,0,50,0,15,0,0,,0,0,,,,,,,,,,,,,,,,,0," ,0,1231,+",0,"T,0,0121, ",290.3," ,0,1222, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.6," ,0",0,"T,0",,,,,,,,
USC00049621,1965,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",726.5,,726.5,0,68,0,48,0,16,0,1,,1,0,0,0,24,0,0,0,196,0,72,0,,,,,-3.9,"0,1218, ",102," ,0,0105, ",114," ,0,0102, ",153.2," ,0,1115, ",40.6,"0,0706, ",,,-0.6,"0,1215",-3.9,"0,1218",,,,,,,0,"0,0408",-2.8,"0,0101",,,,,1665.1,1,1665.1,0,,,,,1294," ,0",368," ,0",15.55,0,22.27,0,8.83,0,,
USC00049621,1966,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",914,,914,0,73,0,48,0,16,0,0,,0,0,0,0,33,0,0,0,206,0,82,0,,,,,-2.8,"0,0304,+",0," ,0,1231,+",0," ,0,1231,+",146.1," ,0,0104, ",41.7,"0,0808,+",,,0,"0,1124",,,,,,,,,-1.1,"0,0317",-2.8,"0,0304",,,,,1687.3,3,1687.3,0,,,,,1480.6," ,0",0," ,0",16.24,0,23.06,0,9.42,0,,
USC00049621,1967,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",1090.8,,1090.8,0,86,0,62,0,21,0,1,,1,0,0,0,29,0,0,0,191,0,103,0,,,,,-3.9,"0,1220,+",152," ,0,0124, ",152," ,0,0124, ",80," ,0,0121, ",42.2,"0,0819, ",,,-0.6,"0,1201",-3.9,"0,1213",,,,,,,-0.6,"0,0428",,,,,,,1892.5,5,1892.5,0,,,,,1481.4," ,0",152," ,0",16.16,0,22.8,0,9.52,0,14701,0
USC00049621,1968,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",797.1,,797.1,0,90,0,63,0,20,0,,,,,0,0,36,0,0,0,201,0,77,0,,,,,-4.4,"0,0128, ",,,,,89.9," ,0,0129, ",42.8,"0,0708, ",,,-1.1,"0,1115",-3.9,"0,1220",,,,,,,-2.2,"0,0204",-2.2,"0,0204",-4.4,"0,0128",,,1527.4,4,1527.4,0,,,,,1447.3," ,0",,,15.65,0,22.28,0,9.03,0,15040,0
USC00049621,1969,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,84,0,61,0,25,0,5,,2,0,,,,,0,0,198,0,87,0,,,,,,,203," ,0,0130, ",203," ,0,0130, ",150.4," ,0,0113, ",41.1,"0,0723,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.4," ,0",254," ,0",,,22.24,0,,,18637,0
USC00049621,1970,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",961.6,,961.6,0,90,0,77,0,32,0,0,,1,0,0,0,13,0,0,0,191,0,97,0,,,,,-1.7,"0,1226,+",0," ,0,1231,+",25," ,0,1221, ",152.1," ,0,1128, ",40.6,"0,0715,+",,,0,"0,1219",,,,,,,,,0,"0,0128",,,,,,,1557.9,9,1557.9,0,,,,,2216.1," ,0",25," ,0",16.1,0,22.42,0,9.78,0,16845,0
USC00049621,1971,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",887.5,,887.5,0,79,0,51,0,8,0,,,2,0,0,0,38,0,0,0,179,0,77,0,,,,,-3.3,"0,0301,+",,,76," ,0,0113, ",85.6," ,0,0326, ",45.6,"0,0811, ",,,-1.1,"0,1028",-2.2,"0,1029",,,,,,,0,"0,0306",-3.3,"0,0301",,,,,1890.3,3,1890.3,0,,,,,937.4," ,0",124," ,0",15.19,0,21.62,0,8.76,0,14901,0
